URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/auto/auto-autobytel/1538.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/0330.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/1541.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/1540.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/0805.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/0426.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/0378.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/0806.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/0381.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/1475.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/1542.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/1543.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/0425.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/0787.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/1536.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/1537.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/1619.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/1232.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/0804.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/0379.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/1544.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/0803.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/1498.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/0380.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/1534.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/1535.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/0807.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/1618.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/1539.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/0055.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/1533.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/0789.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/0715.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/0788.htm",Average Consumer Rating
"/media/Dados/bases/SWDE/auto/auto-autobytel/0329.htm",Average Consumer Rating
