URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/auto/auto-automotive/0587.htm","Power: 227 kW , 305 HP SAE @ 6,000 rpm; 290 ft lb , 393 Nm @ 4,000 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/1407.htm","Power: 169 kW , 227 HP SAE @ 5,000 rpm; 236 ft lb , 320 Nm @ 1,500 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/0123.htm","Power: 210 HP ( 157 kW) @ 5,500 rpm; 221 ft lb of torque ( 300 Nm) @ 2,500 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/1454.htm","Power: 291 HP ( 217 kW) @ 6,500 rpm; 300 ft lb of torque ( 407 Nm) @ 4,000 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/0669.htm","Power: 104 kW , 140 HP SAE @ 6,000 rpm; 136 ft lb , 184 Nm @ 4,250 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/0556.htm","Power: 167 kW , 224 HP SAE @ 5,200 rpm; 226 ft lb , 306 Nm @ 2,800 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/1706.htm","Power: 447 kW , 600 HP SAE @ 6,000 rpm; 553 ft lb , 750 Nm @ 1,700 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/0092.htm","Power: 330 kW , 443 HP SAE @ 6,400 rpm; 414 ft lb , 561 Nm @ 3,900 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/0128.htm","Power: 210 HP ( 157 kW) @ 5,500 rpm; 221 ft lb of torque ( 300 Nm) @ 2,500 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/0554.htm","Power: 167 kW , 224 HP SAE @ 5,200 rpm; 226 ft lb , 306 Nm @ 2,800 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/0582.htm","Power: 167 kW , 224 HP SAE @ 5,200 rpm; 226 ft lb , 306 Nm @ 2,800 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/1704.htm","Power: 411 kW , 552 HP SAE @ 6,100 rpm; 479 ft lb , 650 Nm @ 1,600 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/0141.htm","Power: 194 kW , 260 HP SAE @ 5,300 rpm; 273 ft lb , 370 Nm @ 1,900 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/0603.htm","Power: 265 HP ( 198 kW) @ 6,000 rpm; 258 ft lb of torque ( 350 Nm) @ 2,000 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/1308.htm","Power: 500 HP ( 373 kW) @ 6,100 rpm; 516 ft lb of torque ( 700 Nm) @ 2,750 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/0425.htm","Power: 213 kW , 285 HP SAE @ 6,000 rpm; 265 ft lb , 352 Nm @ 2,000 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/1464.htm","Power: 237 HP ( 177 kW) @ 6,000 rpm; 253 ft lb of torque ( 343 Nm) @ 2,500 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/1830.htm","Power: 116 kW , 155 HP SAE @ 6,100 rpm; 150 ft lb , 203 Nm @ 4,900 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/1732.htm","Power: 240 HP ( 179 kW) @ 6,000 rpm; 260 ft lb of torque ( 353 Nm) @ 4,500 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/0132.htm","Power: 209 kW , 280 HP SAE @ 5,500 rpm; 295 ft lb , 400 Nm @ 2,000 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/1697.htm","Power: 411 kW , 552 HP SAE @ 6,100 rpm; 479 ft lb , 650 Nm @ 1,600 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/1430.htm","Power: 257 HP ( 192 kW) @ 5,500 rpm; 258 ft lb of torque ( 350 Nm) @ 2,100 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/1836.htm","Power: 118 kW , 158 HP SAE @ 6,000 rpm; 162 ft lb , 219 Nm @ 4,000 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/0130.htm","Power: 280 HP ( 209 kW) @ 5,500 rpm; 273 ft lb of torque ( 370 Nm) @ 2,000 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/1831.htm","Power: 116 kW , 155 HP SAE @ 6,100 rpm; 150 ft lb , 203 Nm @ 4,900 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/1434.htm","Power: 281 HP ( 210 kW) @ 5,600 rpm; 295 ft lb of torque ( 400 Nm) @ 1,500 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/1453.htm","Power: 291 HP ( 217 kW) @ 6,500 rpm; 300 ft lb of torque ( 407 Nm) @ 4,000 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/1729.htm","Power: 240 HP ( 179 kW) @ 6,000 rpm; 260 ft lb of torque ( 353 Nm) @ 4,500 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/1425.htm","Power: 281 HP ( 210 kW) @ 5,600 rpm; 295 ft lb of torque ( 400 Nm) @ 1,500 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/1412.htm","Power: 227 HP ( 169 kW) @ 5,000 rpm; 236 ft lb of torque ( 320 Nm) @ 1,500 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/1490.htm","Power: 237 HP ( 177 kW) @ 6,000 rpm; 253 ft lb of torque ( 343 Nm) @ 2,500 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/0139.htm","Power: 194 kW , 260 HP SAE @ 5,300 rpm; 273 ft lb , 370 Nm @ 1,900 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/1791.htm","Power: 210 HP ( 157 kW) @ 6,000 rpm; 223 ft lb of torque ( 302 Nm) @ 2,000 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/1700.htm","Power: 411 kW , 552 HP SAE @ 6,100 rpm; 479 ft lb , 650 Nm @ 1,600 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/0098.htm","Power: 380 kW , 510 HP SAE @ 6,500 rpm; 461 ft lb , 625 Nm @ 2,500 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/0672.htm","Power: 104 kW , 140 HP SAE @ 6,000 rpm; 136 ft lb , 184 Nm @ 4,250 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/1414.htm","Power: 169 kW , 227 HP SAE @ 5,000 rpm; 236 ft lb , 320 Nm @ 1,500 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/1702.htm","Power: 463 kW , 621 HP SAE @ 6,000 rpm; 590 ft lb , 800 Nm @ 1,700 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/0124.htm","Power: 210 HP ( 157 kW) @ 5,500 rpm; 221 ft lb of torque ( 300 Nm) @ 2,500 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/1468.htm","Power: 168 kW , 225 HP SAE @ 5,000 rpm; 255 ft lb , 346 Nm @ 3,750 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/1408.htm","Power: 169 kW , 227 HP SAE @ 5,000 rpm; 236 ft lb , 320 Nm @ 1,500 rpm"
"/media/Dados/bases/SWDE/auto/auto-automotive/1455.htm","Power: 291 HP ( 217 kW) @ 6,500 rpm; 300 ft lb of torque ( 407 Nm) @ 4,000 rpm"
