URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/auto/auto-automotive/1195.htm","$28,045 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/1143.htm","$23,355 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0757.htm","$29,295 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0123.htm","$39,990 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0038.htm","$382,400 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0694.htm","$20,545 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/1800.htm","$27,860 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0092.htm","$104,215 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0128.htm","$37,020 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0401.htm","$16,950 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/1941.htm","$51,900 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0457.htm","$34,445 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0021.htm","$35,675 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0077.htm","$54,825 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/1788.htm","$26,500 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0738.htm","$19,075 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/1645.htm","$17,160 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0762.htm","$42,690 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0975.htm","$23,340 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0822.htm","$17,949 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/1972.htm","$11,695 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0675.htm","$34,125 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0079.htm","$59,475 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0443.htm","$41,230 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/1821.htm","$26,195 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0896.htm",N/A |
"/media/Dados/bases/SWDE/auto/auto-automotive/1774.htm","$17,195 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0622.htm","$27,360 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/1916.htm","$80,455 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0253.htm","$31,330 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/1101.htm","$29,245 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0108.htm","$29,100 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0865.htm","$20,815 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/1640.htm","$19,580 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/1344.htm","$30,120 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/1567.htm","$41,070 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/1055.htm","$52,365 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/1276.htm","$55,000 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0119.htm","$27,150 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/1736.htm","$50,450 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0232.htm","$23,785 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0769.htm","$25,170 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/1544.htm","$52,150 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0058.htm","$33,830 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0629.htm","$31,065 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0213.htm","$28,140 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0560.htm","$25,495 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0263.htm","$39,985 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/1869.htm","$44,550 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/1555.htm","$95,150 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0285.htm","$29,705 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0955.htm","$27,500 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/1126.htm","$13,405 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0808.htm","$397,500 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/1257.htm","$57,200 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/1024.htm","$35,700 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/1376.htm","$23,465 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0999.htm","$20,030 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/1360.htm","$24,770 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0687.htm","$19,695 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0487.htm","$28,130 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0519.htm",N/A |
"/media/Dados/bases/SWDE/auto/auto-automotive/1541.htm","$50,000 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/1794.htm","$33,515 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/0006.htm","$46,700 |"
"/media/Dados/bases/SWDE/auto/auto-automotive/1727.htm","$34,620 |"
