URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/auto/auto-autoweb/0305.htm",that's right for you
"/media/Dados/bases/SWDE/auto/auto-autoweb/1142.htm",at your local Autoweb Accredited Dealer
"/media/Dados/bases/SWDE/auto/auto-autoweb/0736.htm",at your local Autoweb Accredited Dealer
"/media/Dados/bases/SWDE/auto/auto-autoweb/1051.htm",at your local Autoweb Accredited Dealer
"/media/Dados/bases/SWDE/auto/auto-autoweb/0198.htm",of your favorite car or truck
"/media/Dados/bases/SWDE/auto/auto-autoweb/1511.htm",at your local Autoweb Accredited Dealer
"/media/Dados/bases/SWDE/auto/auto-autoweb/0061.htm",at your local Autoweb Accredited Dealer
"/media/Dados/bases/SWDE/auto/auto-autoweb/0018.htm",at your local Autoweb Accredited Dealer
"/media/Dados/bases/SWDE/auto/auto-autoweb/0308.htm",at your local Autoweb Accredited Dealer
"/media/Dados/bases/SWDE/auto/auto-autoweb/1258.htm",of your favorite car or truck
"/media/Dados/bases/SWDE/auto/auto-autoweb/1725.htm",of your favorite car or truck
"/media/Dados/bases/SWDE/auto/auto-autoweb/0447.htm",that's right for you
"/media/Dados/bases/SWDE/auto/auto-autoweb/1909.htm",that's right for you
"/media/Dados/bases/SWDE/auto/auto-autoweb/0396.htm",at your local Autoweb Accredited Dealer
"/media/Dados/bases/SWDE/auto/auto-autoweb/1348.htm",that's right for you
"/media/Dados/bases/SWDE/auto/auto-autoweb/1496.htm",at your local Autoweb Accredited Dealer
"/media/Dados/bases/SWDE/auto/auto-autoweb/1749.htm",that's right for you
"/media/Dados/bases/SWDE/auto/auto-autoweb/1322.htm",of your favorite car or truck
"/media/Dados/bases/SWDE/auto/auto-autoweb/1402.htm",that's right for you
"/media/Dados/bases/SWDE/auto/auto-autoweb/1218.htm",that's right for you
"/media/Dados/bases/SWDE/auto/auto-autoweb/0963.htm",that's right for you
"/media/Dados/bases/SWDE/auto/auto-autoweb/0560.htm",of your favorite car or truck
"/media/Dados/bases/SWDE/auto/auto-autoweb/1517.htm",of your favorite car or truck
"/media/Dados/bases/SWDE/auto/auto-autoweb/1820.htm",at your local Autoweb Accredited Dealer
"/media/Dados/bases/SWDE/auto/auto-autoweb/1412.htm",at your local Autoweb Accredited Dealer
"/media/Dados/bases/SWDE/auto/auto-autoweb/0016.htm",that's right for you
"/media/Dados/bases/SWDE/auto/auto-autoweb/1710.htm",that's right for you
"/media/Dados/bases/SWDE/auto/auto-autoweb/1192.htm",that's right for you
"/media/Dados/bases/SWDE/auto/auto-autoweb/1929.htm",that's right for you
"/media/Dados/bases/SWDE/auto/auto-autoweb/0699.htm",that's right for you
"/media/Dados/bases/SWDE/auto/auto-autoweb/1816.htm",at your local Autoweb Accredited Dealer
"/media/Dados/bases/SWDE/auto/auto-autoweb/0857.htm",at your local Autoweb Accredited Dealer
"/media/Dados/bases/SWDE/auto/auto-autoweb/0499.htm",at your local Autoweb Accredited Dealer
"/media/Dados/bases/SWDE/auto/auto-autoweb/1888.htm",at your local Autoweb Accredited Dealer
"/media/Dados/bases/SWDE/auto/auto-autoweb/1943.htm",that's right for you
"/media/Dados/bases/SWDE/auto/auto-autoweb/0429.htm",of your favorite car or truck
"/media/Dados/bases/SWDE/auto/auto-autoweb/0185.htm",of your favorite car or truck
"/media/Dados/bases/SWDE/auto/auto-autoweb/1319.htm",of your favorite car or truck
"/media/Dados/bases/SWDE/auto/auto-autoweb/1004.htm",of your favorite car or truck
"/media/Dados/bases/SWDE/auto/auto-autoweb/0334.htm",of your favorite car or truck
"/media/Dados/bases/SWDE/auto/auto-autoweb/1670.htm",of your favorite car or truck
"/media/Dados/bases/SWDE/auto/auto-autoweb/1940.htm",of your favorite car or truck
"/media/Dados/bases/SWDE/auto/auto-autoweb/0013.htm",at your local Autoweb Accredited Dealer
"/media/Dados/bases/SWDE/auto/auto-autoweb/0926.htm",that's right for you
"/media/Dados/bases/SWDE/auto/auto-autoweb/1882.htm",that's right for you
"/media/Dados/bases/SWDE/auto/auto-autoweb/1350.htm",that's right for you
"/media/Dados/bases/SWDE/auto/auto-autoweb/0762.htm",of your favorite car or truck
"/media/Dados/bases/SWDE/auto/auto-autoweb/1148.htm",at your local Autoweb Accredited Dealer
