URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/auto/auto-carquotes/0990.htm","$31,465"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0187.htm","$37,345"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1592.htm","$48,900"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0378.htm","$34,350"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0746.htm","$24,180"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0281.htm","$26,245"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1838.htm","$17,195"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1353.htm","$22,715"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0906.htm","$41,605"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1959.htm","$26,595"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1621.htm","$20,850"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1060.htm","$37,400"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1821.htm","$18,695"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0510.htm","$41,320"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1938.htm","$42,135"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0279.htm","$26,245"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1676.htm","$45,445"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0492.htm","$32,680"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1840.htm","$19,995"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0994.htm","$44,670"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1761.htm","$34,440"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0472.htm","$17,299"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0736.htm","$20,445"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0462.htm","$20,749"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1751.htm","$38,690"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0540.htm","$46,865"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0352.htm","$23,050"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1080.htm","$34,535"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1421.htm","$30,170"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0620.htm","$19,900"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1107.htm","$30,205"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1583.htm","$19,075"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0177.htm","$27,995"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1914.htm","$35,405"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1885.htm","$48,340"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0686.htm","$26,305"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0694.htm","$52,915"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0818.htm","$19,290"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1275.htm","$37,900"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0652.htm","$19,275"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0632.htm","$59,320"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0401.htm","$27,710"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0957.htm","$24,655"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1406.htm","$17,120"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1299.htm","$93,000"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1137.htm","$77,800"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1851.htm","$19,275"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0422.htm","$24,060"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1166.htm","$27,975"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1236.htm","$34,220"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0075.htm","$22,555"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0366.htm","$42,600"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0448.htm","$21,899"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1345.htm","$26,950"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1103.htm","$21,700"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1755.htm","$31,345"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1153.htm","$27,055"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0586.htm","$25,295"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1215.htm","$28,185"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1223.htm","$23,200"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0622.htm","$24,550"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0518.htm","$46,680"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1444.htm","$45,185"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0524.htm","$68,265"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0803.htm","$36,110"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0260.htm","$28,995"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1517.htm","$34,140"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1824.htm","$21,995"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1602.htm","$28,840"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1415.htm","$20,085"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0980.htm","$26,935"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1996.htm","$55,400"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0172.htm","$21,695"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0038.htm","$22,205"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0933.htm","$14,990"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1749.htm","$30,615"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0006.htm","$37,700"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1944.htm","$35,375"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0633.htm","$62,220"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1606.htm","$25,980"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1964.htm","$36,115"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0604.htm","$16,895"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1091.htm","$20,345"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0719.htm","$29,470"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0808.htm","$15,365"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0180.htm","$19,495"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0360.htm","$27,840"
"/media/Dados/bases/SWDE/auto/auto-carquotes/0219.htm","$35,795"
"/media/Dados/bases/SWDE/auto/auto-carquotes/1185.htm","$30,135"
