URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/auto/auto-cars/0075.htm","403-hp, 6.2-liter V-8 (flexible; E85)"
"/media/Dados/bases/SWDE/auto/auto-cars/0404.htm","435-hp, 3.8-liter H-6 (premium)"
"/media/Dados/bases/SWDE/auto/auto-cars/0048.htm","411-hp, 6.2-liter V-8 (regular gas)"
"/media/Dados/bases/SWDE/auto/auto-cars/0562.htm","280-hp, 3.6-liter V-6 (regular gas)"
"/media/Dados/bases/SWDE/auto/auto-cars/0607.htm","260-hp, 2.0-liter I-4 (premium)"
"/media/Dados/bases/SWDE/auto/auto-cars/0613.htm","403-hp, 6.2-liter V-8 (flexible; E85)"
"/media/Dados/bases/SWDE/auto/auto-cars/0632.htm","235-hp, 3.5-liter V-6 (flexible; E85)"
"/media/Dados/bases/SWDE/auto/auto-cars/0520.htm","381-hp, 5.7-liter V-8 (regular gas)"
"/media/Dados/bases/SWDE/auto/auto-cars/0403.htm","435-hp, 3.8-liter H-6 (premium)"
"/media/Dados/bases/SWDE/auto/auto-cars/0618.htm","365-hp, 6.6-liter V-8 (diesel)"
"/media/Dados/bases/SWDE/auto/auto-cars/0598.htm","638-hp, 6.2-liter V-8 (premium)"
"/media/Dados/bases/SWDE/auto/auto-cars/0171.htm","173-hp, 2.4-liter I-4 (regular gas)"
"/media/Dados/bases/SWDE/auto/auto-cars/0476.htm","440-hp, 4.4-liter V-8 (premium)"
"/media/Dados/bases/SWDE/auto/auto-cars/0170.htm","173-hp, 2.4-liter I-4 (regular gas)"
"/media/Dados/bases/SWDE/auto/auto-cars/0301.htm","481-hp, 6.2-liter V-8 (premium)"
"/media/Dados/bases/SWDE/auto/auto-cars/0364.htm","168-hp, 2.4-liter I-4 (regular gas)"
"/media/Dados/bases/SWDE/auto/auto-cars/0315.htm","536-hp, 5.5-liter V-8 (premium)"
"/media/Dados/bases/SWDE/auto/auto-cars/0640.htm","425-hp, 6.1-liter V-8 (premium)"
"/media/Dados/bases/SWDE/auto/auto-cars/0311.htm","382-hp, 5.5-liter V-8 (premium)"
"/media/Dados/bases/SWDE/auto/auto-cars/0360.htm","168-hp, 2.4-liter I-4 (regular gas)"
"/media/Dados/bases/SWDE/auto/auto-cars/0551.htm","311-hp, 4.4-liter V-8 (premium)"
"/media/Dados/bases/SWDE/auto/auto-cars/0047.htm","411-hp, 6.2-liter V-8 (flexible; E85)"
"/media/Dados/bases/SWDE/auto/auto-cars/0146.htm","510-hp, 5.0-liter V-8 (premium)"
"/media/Dados/bases/SWDE/auto/auto-cars/0279.htm","167-hp, 2.5-liter I-4 (regular gas)"
"/media/Dados/bases/SWDE/auto/auto-cars/0312.htm","382-hp, 5.5-liter V-8 (premium)"
"/media/Dados/bases/SWDE/auto/auto-cars/0080.htm","365-hp, 6.6-liter V-8 (diesel)"
"/media/Dados/bases/SWDE/auto/auto-cars/0303.htm","563-hp, 5.5-liter V-8 (premium)"
"/media/Dados/bases/SWDE/auto/auto-cars/0599.htm","638-hp, 6.2-liter V-8 (premium)"
"/media/Dados/bases/SWDE/auto/auto-cars/0300.htm","451-hp, 6.2-liter V-8 (premium)"
"/media/Dados/bases/SWDE/auto/auto-cars/0298.htm","518-hp, 6.2-liter V-8 (premium)"
"/media/Dados/bases/SWDE/auto/auto-cars/0314.htm","518-hp, 6.2-liter V-8 (premium)"
"/media/Dados/bases/SWDE/auto/auto-cars/0614.htm","403-hp, 6.2-liter V-8 (flexible; E85)"
"/media/Dados/bases/SWDE/auto/auto-cars/0302.htm","604-hp, 6.0-liter V-12 (premium)"
"/media/Dados/bases/SWDE/auto/auto-cars/0519.htm","381-hp, 5.7-liter V-8 (regular gas)"
"/media/Dados/bases/SWDE/auto/auto-cars/0076.htm","403-hp, 6.2-liter V-8 (flexible; E85)"
"/media/Dados/bases/SWDE/auto/auto-cars/0361.htm","168-hp, 2.4-liter I-4 (regular gas)"
"/media/Dados/bases/SWDE/auto/auto-cars/0406.htm","500-hp, 4.8-liter V-8 (premium)"
"/media/Dados/bases/SWDE/auto/auto-cars/0064.htm","397-hp, 6.6-liter V-8 (diesel)"
"/media/Dados/bases/SWDE/auto/auto-cars/0115.htm","274-hp, 2.0-liter I-4 (regular gas)"
