URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/auto/auto-kbb/0351.htm",16 mpg City / 23 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0595.htm",12 mpg City / 18 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/1587.htm",15 mpg City / 19 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0999.htm",13 mpg City / 18 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/1738.htm",16 mpg City / 22 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0009.htm",15 mpg City / 21 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0143.htm",28 mpg City / 34 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0085.htm",40 mpg City / 43 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0024.htm",17 mpg City / 25 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0369.htm",10 mpg City / 16 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0992.htm",13 mpg City / 18 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/1031.htm",14 mpg City / 18 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/1550.htm",14 mpg City / 20 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/1220.htm",13 mpg City / 20 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0775.htm",14 mpg City / 18 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0101.htm",20 mpg City / 25 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0376.htm",20 mpg City / 28 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0475.htm",18 mpg City / 25 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0190.htm",22 mpg City / 35 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0398.htm",25 mpg City / 33 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/1661.htm",19 mpg City / 28 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0656.htm",18 mpg City / 23 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0339.htm",16 mpg City / 24 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0790.htm",18 mpg City / 25 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0162.htm",23 mpg City / 31 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0688.htm",26 mpg City / 34 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/1725.htm",16 mpg City / 22 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/1880.htm",15 mpg City / 22 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0069.htm",40 mpg City / 45 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0908.htm",22 mpg City / 30 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/1743.htm",24 mpg City / 35 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0991.htm",14 mpg City / 19 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0544.htm",22 mpg City / 31 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0433.htm",21 mpg City / 28 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/1180.htm",25 mpg City / 37 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0373.htm",17 mpg City / 23 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/1044.htm",15 mpg City / 20 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/1464.htm",14 mpg City / 20 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0365.htm",20 mpg City / 26 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/1037.htm",15 mpg City / 20 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/1530.htm",14 mpg City / 20 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0572.htm",16 mpg City / 22 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0875.htm",18 mpg City / 25 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/1900.htm",14 mpg City / 20 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/1171.htm",27 mpg City / 35 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/1098.htm",21 mpg City / 31 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/1270.htm",13 mpg City / 18 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0195.htm",16 mpg City / 22 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0507.htm",34 mpg City / 31 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0982.htm",19 mpg City / 26 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/1403.htm",21 mpg City / 30 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0318.htm",22 mpg City / 25 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0459.htm",17 mpg City / 26 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/1905.htm",14 mpg City / 18 mpg Hwy
"/media/Dados/bases/SWDE/auto/auto-kbb/0553.htm",25 mpg City / 32 mpg Hwy
