URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/auto/auto-motortrend/0827.htm","Power(SAE): 429 hp @ 5,250 rpm; 516 ft lb of torque @ 1,800 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0472.htm","Power(SAE): 631 hp @ 4,800 rpm; 739 ft lb of torque @ 2,000 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/1190.htm","Power(SAE): 210 hp @ 6,000 rpm; 223 ft lb of torque @ 2,000 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0400.htm","Power(SAE): 305 hp @ 6,000 rpm; 290 ft lb of torque @ 4,000 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0187.htm","Power(SAE): 138 hp @ 4,900 rpm; 148 ft lb of torque @ 1,850 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0899.htm","Power(SAE): 604 hp @ 4,800 rpm; 738 ft lb of torque @ 2,000 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0889.htm","Power(SAE): 536 hp @ 5,500 rpm; 590 ft lb of torque @ 2,000 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0890.htm","Power(SAE): 510 hp @ 5,000 rpm; 612 ft lb of torque @ 1,800 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0984.htm","Power(SAE): 227 hp @ 5,000 rpm; 236 ft lb of torque @ 1,500 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0997.htm","Power(SAE): 300 hp @ 5,600 rpm; 325 ft lb of torque @ 1,500 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0829.htm","Power(SAE): 510 hp @ 5,000 rpm; 612 ft lb of torque @ 1,800 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0836.htm","Power(SAE): 240 hp @ 6,000 rpm; 260 ft lb of torque @ 4,500 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0470.htm","Power(SAE): 543 hp @ 5,250 rpm; 664 ft lb of torque @ 2,200 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0409.htm","Power(SAE): 265 hp @ 5,600 rpm; 258 ft lb of torque @ 2,000 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0891.htm","Power(SAE): 604 hp @ 4,800 rpm; 738 ft lb of torque @ 2,000 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0105.htm","Power(SAE): 556 hp @ 6,100 rpm; 551 ft lb of torque @ 3,800 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0969.htm","Power(SAE): 227 hp @ 5,000 rpm; 236 ft lb of torque @ 1,500 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/1179.htm","Power(SAE): 530 hp @ 4,000 rpm; 774 ft lb of torque @ 3,250 rpm"
