URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/auto/auto-msn/0150.htm",SLE Crew Cab Long Box 2WD
"/media/Dados/bases/SWDE/auto/auto-msn/0167.htm",Work Truck Crew Cab Long Box DRW 4WD
"/media/Dados/bases/SWDE/auto/auto-msn/0137.htm",Work Truck Ext. Cab Long Box 4WD
"/media/Dados/bases/SWDE/auto/auto-msn/1892.htm",EX-L Sedan AT w/ Nav
"/media/Dados/bases/SWDE/auto/auto-msn/1008.htm",LT Crew Cab 2WD
"/media/Dados/bases/SWDE/auto/auto-msn/1897.htm",EX-L Sedan AT w/ Nav
"/media/Dados/bases/SWDE/auto/auto-msn/0720.htm",XL SuperCrew 5.5-ft. Bed 4X2
"/media/Dados/bases/SWDE/auto/auto-msn/0724.htm",XLT Crew Cab Long Bed 4WD
"/media/Dados/bases/SWDE/auto/auto-msn/0978.htm",LS Crew Cab Short Box 2WD
"/media/Dados/bases/SWDE/auto/auto-msn/0149.htm",SLE Crew Cab Long Box 2WD
"/media/Dados/bases/SWDE/auto/auto-msn/1249.htm",SLE Crew Cab DRW 2WD
"/media/Dados/bases/SWDE/auto/auto-msn/1090.htm",EX Sedan 5-Spd AT
"/media/Dados/bases/SWDE/auto/auto-msn/0135.htm",Work Truck Ext. Cab Long Box 4WD
"/media/Dados/bases/SWDE/auto/auto-msn/0971.htm",LS Crew Cab Short Box 2WD
"/media/Dados/bases/SWDE/auto/auto-msn/1701.htm",ESV AWD Platinum Edition
"/media/Dados/bases/SWDE/auto/auto-msn/0715.htm",XL SuperCrew 5.5-ft. Bed 4X2
"/media/Dados/bases/SWDE/auto/auto-msn/1599.htm",EL King Ranch 4X4
"/media/Dados/bases/SWDE/auto/auto-msn/1237.htm",SLE Crew Cab Long Box 2WD
"/media/Dados/bases/SWDE/auto/auto-msn/0170.htm",Work Truck Crew Cab Long Box DRW 4WD
"/media/Dados/bases/SWDE/auto/auto-msn/1102.htm",EX-L Sedan w/ Nav
"/media/Dados/bases/SWDE/auto/auto-msn/1324.htm",Double Cab V6 4X4
"/media/Dados/bases/SWDE/auto/auto-msn/1080.htm",EX Sedan 5-Spd AT
"/media/Dados/bases/SWDE/auto/auto-msn/0140.htm",Work Truck Ext. Cab Long Box 4WD
"/media/Dados/bases/SWDE/auto/auto-msn/0718.htm",XL SuperCrew 5.5-ft. Bed 4X2
