URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/auto/auto-yahoo/1556.htm",450
"/media/Dados/bases/SWDE/auto/auto-yahoo/0147.htm",WRX
"/media/Dados/bases/SWDE/auto/auto-yahoo/1669.htm",V
"/media/Dados/bases/SWDE/auto/auto-yahoo/0879.htm",Series
"/media/Dados/bases/SWDE/auto/auto-yahoo/1582.htm",Car
"/media/Dados/bases/SWDE/auto/auto-yahoo/0572.htm",9
"/media/Dados/bases/SWDE/auto/auto-yahoo/0958.htm",H3T
"/media/Dados/bases/SWDE/auto/auto-yahoo/1341.htm",Series
"/media/Dados/bases/SWDE/auto/auto-yahoo/1555.htm",450
"/media/Dados/bases/SWDE/auto/auto-yahoo/0229.htm",Caravan
"/media/Dados/bases/SWDE/auto/auto-yahoo/0959.htm",H3T
"/media/Dados/bases/SWDE/auto/auto-yahoo/0868.htm",Series
"/media/Dados/bases/SWDE/auto/auto-yahoo/1908.htm",7
"/media/Dados/bases/SWDE/auto/auto-yahoo/1628.htm",Series
"/media/Dados/bases/SWDE/auto/auto-yahoo/1554.htm",Series
"/media/Dados/bases/SWDE/auto/auto-yahoo/0486.htm",3
"/media/Dados/bases/SWDE/auto/auto-yahoo/0344.htm",Nitro
"/media/Dados/bases/SWDE/auto/auto-yahoo/1259.htm",Cherokee
"/media/Dados/bases/SWDE/auto/auto-yahoo/0563.htm",Series
"/media/Dados/bases/SWDE/auto/auto-yahoo/1343.htm",Series
"/media/Dados/bases/SWDE/auto/auto-yahoo/0146.htm",WRX
"/media/Dados/bases/SWDE/auto/auto-yahoo/0072.htm",Koup
"/media/Dados/bases/SWDE/auto/auto-yahoo/1907.htm",7
"/media/Dados/bases/SWDE/auto/auto-yahoo/0568.htm",9
"/media/Dados/bases/SWDE/auto/auto-yahoo/1550.htm",Series
"/media/Dados/bases/SWDE/auto/auto-yahoo/0814.htm",Charger
"/media/Dados/bases/SWDE/auto/auto-yahoo/0938.htm",Country
"/media/Dados/bases/SWDE/auto/auto-yahoo/1188.htm",X3
"/media/Dados/bases/SWDE/auto/auto-yahoo/1911.htm",7
"/media/Dados/bases/SWDE/auto/auto-yahoo/1272.htm",Series
"/media/Dados/bases/SWDE/auto/auto-yahoo/1798.htm",Series
"/media/Dados/bases/SWDE/auto/auto-yahoo/1642.htm",Series
"/media/Dados/bases/SWDE/auto/auto-yahoo/0571.htm",9
"/media/Dados/bases/SWDE/auto/auto-yahoo/0566.htm",9
"/media/Dados/bases/SWDE/auto/auto-yahoo/1969.htm",Nitro
"/media/Dados/bases/SWDE/auto/auto-yahoo/1909.htm",7
"/media/Dados/bases/SWDE/auto/auto-yahoo/0334.htm",WRX
"/media/Dados/bases/SWDE/auto/auto-yahoo/0670.htm",8
"/media/Dados/bases/SWDE/auto/auto-yahoo/1433.htm",Insight
"/media/Dados/bases/SWDE/auto/auto-yahoo/0331.htm",WRX
"/media/Dados/bases/SWDE/auto/auto-yahoo/1337.htm",FX
"/media/Dados/bases/SWDE/auto/auto-yahoo/1733.htm",M
"/media/Dados/bases/SWDE/auto/auto-yahoo/1575.htm",Series
"/media/Dados/bases/SWDE/auto/auto-yahoo/1087.htm",SUV
"/media/Dados/bases/SWDE/auto/auto-yahoo/1552.htm",Series
"/media/Dados/bases/SWDE/auto/auto-yahoo/0880.htm",Series
"/media/Dados/bases/SWDE/auto/auto-yahoo/1473.htm",Car
"/media/Dados/bases/SWDE/auto/auto-yahoo/0867.htm",Series
"/media/Dados/bases/SWDE/auto/auto-yahoo/0569.htm",9
"/media/Dados/bases/SWDE/auto/auto-yahoo/0934.htm",LR2
"/media/Dados/bases/SWDE/auto/auto-yahoo/0671.htm",8
"/media/Dados/bases/SWDE/auto/auto-yahoo/0815.htm",Charger
"/media/Dados/bases/SWDE/auto/auto-yahoo/0561.htm",Series
"/media/Dados/bases/SWDE/auto/auto-yahoo/1146.htm",Series
"/media/Dados/bases/SWDE/auto/auto-yahoo/1283.htm",Series
"/media/Dados/bases/SWDE/auto/auto-yahoo/1284.htm",Series
"/media/Dados/bases/SWDE/auto/auto-yahoo/0539.htm",Fe
"/media/Dados/bases/SWDE/auto/auto-yahoo/0564.htm",Series
"/media/Dados/bases/SWDE/auto/auto-yahoo/1641.htm",Series
"/media/Dados/bases/SWDE/auto/auto-yahoo/1148.htm",Series
"/media/Dados/bases/SWDE/auto/auto-yahoo/0346.htm",Nitro
"/media/Dados/bases/SWDE/auto/auto-yahoo/0145.htm",WRX
"/media/Dados/bases/SWDE/auto/auto-yahoo/1474.htm",LR4
"/media/Dados/bases/SWDE/auto/auto-yahoo/1576.htm",Series
"/media/Dados/bases/SWDE/auto/auto-yahoo/0864.htm",Series
"/media/Dados/bases/SWDE/auto/auto-yahoo/1147.htm",Series
"/media/Dados/bases/SWDE/auto/auto-yahoo/1262.htm",Cherokee
"/media/Dados/bases/SWDE/auto/auto-yahoo/0485.htm",3
"/media/Dados/bases/SWDE/auto/auto-yahoo/1434.htm",Insight
"/media/Dados/bases/SWDE/auto/auto-yahoo/1414.htm",Caliber
"/media/Dados/bases/SWDE/auto/auto-yahoo/1303.htm",Cherokee
"/media/Dados/bases/SWDE/auto/auto-yahoo/1796.htm",Series
"/media/Dados/bases/SWDE/auto/auto-yahoo/0570.htm",9
"/media/Dados/bases/SWDE/auto/auto-yahoo/1528.htm",450
"/media/Dados/bases/SWDE/auto/auto-yahoo/1729.htm",R
"/media/Dados/bases/SWDE/auto/auto-yahoo/0841.htm",Series
"/media/Dados/bases/SWDE/auto/auto-yahoo/1088.htm",SUV
"/media/Dados/bases/SWDE/auto/auto-yahoo/1553.htm",Series
"/media/Dados/bases/SWDE/auto/auto-yahoo/0928.htm",EX
"/media/Dados/bases/SWDE/auto/auto-yahoo/1583.htm",Car
"/media/Dados/bases/SWDE/auto/auto-yahoo/1435.htm",Insight
"/media/Dados/bases/SWDE/auto/auto-yahoo/1942.htm",Vitara
"/media/Dados/bases/SWDE/auto/auto-yahoo/1100.htm",Series
"/media/Dados/bases/SWDE/auto/auto-yahoo/0538.htm",Fe
"/media/Dados/bases/SWDE/auto/auto-yahoo/1728.htm",R
"/media/Dados/bases/SWDE/auto/auto-yahoo/1978.htm",V
"/media/Dados/bases/SWDE/auto/auto-yahoo/0869.htm",Series
