URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/book/book-abebooks/0421.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1279.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/0629.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/0644.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/0076.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1563.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/1942.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1925.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/0162.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/1990.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1858.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/0888.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/1847.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/0792.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/1450.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/0411.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1352.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1367.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1929.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1562.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/0868.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1389.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/0198.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1198.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1967.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/1195.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/0675.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1294.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/1331.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/1799.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/1888.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1010.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/0813.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/0889.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/0102.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1013.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/0306.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/0529.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1887.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1701.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/0207.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/1242.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/1008.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1292.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1886.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1828.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/1378.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1542.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/1959.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/1189.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1954.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/0952.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/1199.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1163.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/0988.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/0931.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1923.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1922.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1564.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/1965.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/0788.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/1869.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/1062.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/1305.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/0454.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/0608.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/1268.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1656.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/1362.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1004.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/1087.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/0860.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/0947.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/0906.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1381.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/0094.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1134.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1330.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1261.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/0741.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1592.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/1553.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1957.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1404.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/0568.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1999.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/1973.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/0360.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1405.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1885.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1612.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/0903.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/0243.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/0258.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1303.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/1708.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/1984.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/0632.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1895.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1812.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/0965.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/0572.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/0197.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/1325.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/0020.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/0214.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/0957.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/1668.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1569.htm",Publication Date:
"/media/Dados/bases/SWDE/book/book-abebooks/1663.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/1358.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1632.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/0793.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/1618.htm",Binding:
"/media/Dados/bases/SWDE/book/book-abebooks/1909.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/1924.htm",Publication Date:
"/media/Dados/bases/SWDE/book/book-abebooks/0287.htm",Publisher:
"/media/Dados/bases/SWDE/book/book-abebooks/0959.htm",Binding:
