URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/book/book-bookdepository/1635.htm",", Foreword by"
"/media/Dados/bases/SWDE/book/book-bookdepository/1994.htm",", By (author)"
"/media/Dados/bases/SWDE/book/book-bookdepository/0372.htm",", Translated by"
"/media/Dados/bases/SWDE/book/book-bookdepository/0953.htm",", By (author)"
"/media/Dados/bases/SWDE/book/book-bookdepository/0970.htm",", By (author)"
"/media/Dados/bases/SWDE/book/book-bookdepository/0812.htm",", By (author)"
"/media/Dados/bases/SWDE/book/book-bookdepository/1027.htm",", By (author)"
"/media/Dados/bases/SWDE/book/book-bookdepository/1192.htm",", By (author)"
"/media/Dados/bases/SWDE/book/book-bookdepository/0501.htm",", By (artist)"
"/media/Dados/bases/SWDE/book/book-bookdepository/0399.htm",", Afterword by"
"/media/Dados/bases/SWDE/book/book-bookdepository/1608.htm",", Translated by"
"/media/Dados/bases/SWDE/book/book-bookdepository/1860.htm",", By (author)"
"/media/Dados/bases/SWDE/book/book-bookdepository/1762.htm",", Illustrated by"
"/media/Dados/bases/SWDE/book/book-bookdepository/1225.htm",", By (author)"
"/media/Dados/bases/SWDE/book/book-bookdepository/0327.htm",", By (author)"
"/media/Dados/bases/SWDE/book/book-bookdepository/1089.htm",", Illustrated by"
"/media/Dados/bases/SWDE/book/book-bookdepository/1962.htm",", Illustrated by"
"/media/Dados/bases/SWDE/book/book-bookdepository/0144.htm",", Illustrated by"
"/media/Dados/bases/SWDE/book/book-bookdepository/0795.htm",", By (author)"
"/media/Dados/bases/SWDE/book/book-bookdepository/1799.htm",", By (author)"
"/media/Dados/bases/SWDE/book/book-bookdepository/0520.htm",", By (author)"
"/media/Dados/bases/SWDE/book/book-bookdepository/0032.htm",", Foreword by"
"/media/Dados/bases/SWDE/book/book-bookdepository/0781.htm",", By (author)"
"/media/Dados/bases/SWDE/book/book-bookdepository/1854.htm",", Introduction by"
"/media/Dados/bases/SWDE/book/book-bookdepository/0005.htm",", With"
"/media/Dados/bases/SWDE/book/book-bookdepository/1529.htm",", By (author)"
"/media/Dados/bases/SWDE/book/book-bookdepository/1835.htm",", By (artist)"
"/media/Dados/bases/SWDE/book/book-bookdepository/0253.htm",", With"
"/media/Dados/bases/SWDE/book/book-bookdepository/1927.htm",", Translated by"
"/media/Dados/bases/SWDE/book/book-bookdepository/1397.htm",", Introduction by"
