URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/book/book-booksamillion/0043.htm",Heart of a Warrior
"/media/Dados/bases/SWDE/book/book-booksamillion/0892.htm",The Shadow Rising
"/media/Dados/bases/SWDE/book/book-booksamillion/0193.htm",The Renegade Hunter
"/media/Dados/bases/SWDE/book/book-booksamillion/1688.htm",The King of Lies
"/media/Dados/bases/SWDE/book/book-booksamillion/1822.htm",Stroke of Midnight
"/media/Dados/bases/SWDE/book/book-booksamillion/1210.htm",Fractured
"/media/Dados/bases/SWDE/book/book-booksamillion/1236.htm",In Their Footsteps & Thief ...
"/media/Dados/bases/SWDE/book/book-booksamillion/0360.htm",Pleasure of a Dark Prince
"/media/Dados/bases/SWDE/book/book-booksamillion/0379.htm",Lean Mean Thirteen
"/media/Dados/bases/SWDE/book/book-booksamillion/0581.htm",G-Spot
"/media/Dados/bases/SWDE/book/book-booksamillion/1911.htm",Eternal Pleasure
"/media/Dados/bases/SWDE/book/book-booksamillion/1399.htm",A Fine Passion
"/media/Dados/bases/SWDE/book/book-booksamillion/0064.htm",The Wicked and the Wondrous
"/media/Dados/bases/SWDE/book/book-booksamillion/1974.htm",Touch of Seduction
"/media/Dados/bases/SWDE/book/book-booksamillion/0564.htm",Face the Fire
"/media/Dados/bases/SWDE/book/book-booksamillion/1214.htm",Stroke of Midnight
"/media/Dados/bases/SWDE/book/book-booksamillion/1031.htm",The Icebound Land
"/media/Dados/bases/SWDE/book/book-booksamillion/0508.htm",Rescue Me
"/media/Dados/bases/SWDE/book/book-booksamillion/0836.htm",To Kill a Mockingbird
"/media/Dados/bases/SWDE/book/book-booksamillion/1839.htm",Gingerbread Baby
"/media/Dados/bases/SWDE/book/book-booksamillion/1203.htm",The Great Kapok Tree
"/media/Dados/bases/SWDE/book/book-booksamillion/0777.htm",Morning Comes Softly
"/media/Dados/bases/SWDE/book/book-booksamillion/0546.htm",What to Say When You Talk t...
"/media/Dados/bases/SWDE/book/book-booksamillion/0960.htm",Natural Cures They Don't Wa...
"/media/Dados/bases/SWDE/book/book-booksamillion/0319.htm",To Kill a Mockingbird
"/media/Dados/bases/SWDE/book/book-booksamillion/1812.htm",Magician
"/media/Dados/bases/SWDE/book/book-booksamillion/0625.htm",The Shimmer
"/media/Dados/bases/SWDE/book/book-booksamillion/0574.htm",Anthem
"/media/Dados/bases/SWDE/book/book-booksamillion/0931.htm",7th Heaven
"/media/Dados/bases/SWDE/book/book-booksamillion/1520.htm",The Wedding
"/media/Dados/bases/SWDE/book/book-booksamillion/0424.htm",Code Talker
