URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/book/book-buy/1260.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0854.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0117.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0563.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1677.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1693.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1262.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0856.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0793.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0200.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0289.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1672.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1017.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1862.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1385.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0282.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0657.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1164.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1220.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0567.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0984.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0766.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0129.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0593.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1974.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0700.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0566.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1836.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1082.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0583.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0485.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1096.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1237.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1542.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1653.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1303.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1024.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1306.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0596.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1377.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1395.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1731.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0581.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0329.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1233.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0344.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0667.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0001.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0008.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0559.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0014.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0650.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1312.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1463.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0391.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1913.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0124.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1227.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1246.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1167.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0053.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0260.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0040.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0767.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0311.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0888.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1714.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0090.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1830.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0355.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0246.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0259.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1978.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0648.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0184.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0353.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0955.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0195.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1535.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0465.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0853.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0150.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0480.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0611.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0939.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1352.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0748.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0577.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0905.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0011.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0844.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1474.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1531.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1973.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1516.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0574.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1629.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0438.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1696.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0749.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1235.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1715.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1932.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0953.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1518.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1192.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1883.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0779.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1153.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0484.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1915.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0764.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0880.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0665.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0670.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1268.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0251.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0003.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1360.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1660.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1703.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1095.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1493.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1250.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1507.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0497.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0103.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0247.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0482.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0035.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1388.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0685.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0653.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1642.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0145.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0375.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0000.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1099.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1376.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1787.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0727.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1044.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0815.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1002.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0131.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0275.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0508.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1827.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0435.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1747.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0895.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0929.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0959.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1403.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0971.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1729.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0043.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0171.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0292.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1771.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0299.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1776.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1700.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1025.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0207.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0797.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1215.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0034.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0614.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1887.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0116.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/1789.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0683.htm",Price:
"/media/Dados/bases/SWDE/book/book-buy/0134.htm",Price:
