URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/book/book-christianbook/0131.htm","August 2, 2010"
"/media/Dados/bases/SWDE/book/book-christianbook/0917.htm","April 22, 2006"
"/media/Dados/bases/SWDE/book/book-christianbook/0050.htm","June 5, 2010"
"/media/Dados/bases/SWDE/book/book-christianbook/0679.htm","June 22, 2007"
"/media/Dados/bases/SWDE/book/book-christianbook/0467.htm","June 14, 2010"
"/media/Dados/bases/SWDE/book/book-christianbook/0032.htm","November 20, 2009"
"/media/Dados/bases/SWDE/book/book-christianbook/0202.htm","Creepy, cool, dark story"
"/media/Dados/bases/SWDE/book/book-christianbook/0004.htm",Great series!
"/media/Dados/bases/SWDE/book/book-christianbook/1879.htm","April 15, 2009"
"/media/Dados/bases/SWDE/book/book-christianbook/0470.htm","September 21, 2010"
"/media/Dados/bases/SWDE/book/book-christianbook/0107.htm","March 23, 2010"
"/media/Dados/bases/SWDE/book/book-christianbook/0002.htm","December 21, 2010"
"/media/Dados/bases/SWDE/book/book-christianbook/0021.htm","December 10, 2010"
"/media/Dados/bases/SWDE/book/book-christianbook/1287.htm","September 5, 2007"
"/media/Dados/bases/SWDE/book/book-christianbook/1652.htm","April 30, 2009"
"/media/Dados/bases/SWDE/book/book-christianbook/1187.htm","December 11, 2008"
"/media/Dados/bases/SWDE/book/book-christianbook/0550.htm",The Spiritual Journey
"/media/Dados/bases/SWDE/book/book-christianbook/0978.htm","November 3, 2009"
"/media/Dados/bases/SWDE/book/book-christianbook/0003.htm","October 19, 2010"
"/media/Dados/bases/SWDE/book/book-christianbook/0443.htm","September 12, 2010"
