URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/book/book-deepdiscount/0642.htm",Fiction:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0412.htm",Fiction:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0992.htm",Fiction:
"/media/Dados/bases/SWDE/book/book-deepdiscount/1303.htm",Publish Date:
"/media/Dados/bases/SWDE/book/book-deepdiscount/1406.htm",Publish Date:
"/media/Dados/bases/SWDE/book/book-deepdiscount/1398.htm",Fiction:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0154.htm",Fiction:
"/media/Dados/bases/SWDE/book/book-deepdiscount/1174.htm",Fiction:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0103.htm",Fiction:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0635.htm",Publish Date:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0460.htm",Fiction:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0332.htm",Publish Date:
"/media/Dados/bases/SWDE/book/book-deepdiscount/1055.htm",Publish Date:
"/media/Dados/bases/SWDE/book/book-deepdiscount/1208.htm",Edition Number:
"/media/Dados/bases/SWDE/book/book-deepdiscount/1684.htm",Fiction:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0720.htm",Fiction:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0951.htm",Pages:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0726.htm",Fiction:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0561.htm",Fiction:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0574.htm",Fiction:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0794.htm",Pages:
"/media/Dados/bases/SWDE/book/book-deepdiscount/1332.htm",Edition Number:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0248.htm",Pages:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0603.htm",Pages:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0497.htm",Publish Date:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0499.htm",Pages:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0184.htm",Pages:
"/media/Dados/bases/SWDE/book/book-deepdiscount/1111.htm",Pages:
"/media/Dados/bases/SWDE/book/book-deepdiscount/1652.htm",Fiction:
"/media/Dados/bases/SWDE/book/book-deepdiscount/1822.htm",Fiction:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0490.htm",Fiction:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0137.htm",Publish Date:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0967.htm",Publish Date:
"/media/Dados/bases/SWDE/book/book-deepdiscount/1702.htm",Fiction:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0712.htm",Fiction:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0221.htm",Edition Number:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0432.htm",Fiction:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0746.htm",Fiction:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0549.htm",Publish Date:
"/media/Dados/bases/SWDE/book/book-deepdiscount/1894.htm",Fiction:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0766.htm",Pages:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0507.htm",Pages:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0429.htm",Fiction:
"/media/Dados/bases/SWDE/book/book-deepdiscount/1333.htm",Pages:
"/media/Dados/bases/SWDE/book/book-deepdiscount/1033.htm",Fiction:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0134.htm",Fiction:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0182.htm",Fiction:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0006.htm",Publish Date:
"/media/Dados/bases/SWDE/book/book-deepdiscount/1614.htm",Publish Date:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0545.htm",Fiction:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0620.htm",Pages:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0173.htm",Fiction:
"/media/Dados/bases/SWDE/book/book-deepdiscount/1047.htm",Fiction:
"/media/Dados/bases/SWDE/book/book-deepdiscount/0792.htm",Publish Date:
