URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/book/book-waterstones/0824.htm",£5.19
"/media/Dados/bases/SWDE/book/book-waterstones/1261.htm",£8.99
"/media/Dados/bases/SWDE/book/book-waterstones/0148.htm",£9.59
"/media/Dados/bases/SWDE/book/book-waterstones/0980.htm",£7.29
"/media/Dados/bases/SWDE/book/book-waterstones/1985.htm",£6.39
"/media/Dados/bases/SWDE/book/book-waterstones/0772.htm",£6.39
"/media/Dados/bases/SWDE/book/book-waterstones/0582.htm",£3.99
"/media/Dados/bases/SWDE/book/book-waterstones/0879.htm",£20.10
"/media/Dados/bases/SWDE/book/book-waterstones/0012.htm",£17.99
"/media/Dados/bases/SWDE/book/book-waterstones/0002.htm",£14.39
"/media/Dados/bases/SWDE/book/book-waterstones/1451.htm",£6.39
"/media/Dados/bases/SWDE/book/book-waterstones/0380.htm",£6.29
"/media/Dados/bases/SWDE/book/book-waterstones/1179.htm",£6.99
"/media/Dados/bases/SWDE/book/book-waterstones/1015.htm",£13.59
"/media/Dados/bases/SWDE/book/book-waterstones/0098.htm",£10.00
"/media/Dados/bases/SWDE/book/book-waterstones/0482.htm",£11.99
"/media/Dados/bases/SWDE/book/book-waterstones/0255.htm",£6.49
"/media/Dados/bases/SWDE/book/book-waterstones/1028.htm",£10.39
"/media/Dados/bases/SWDE/book/book-waterstones/0447.htm",£11.09
"/media/Dados/bases/SWDE/book/book-waterstones/1196.htm",£30.00
"/media/Dados/bases/SWDE/book/book-waterstones/1653.htm",£9.99
"/media/Dados/bases/SWDE/book/book-waterstones/0350.htm",£4.79
"/media/Dados/bases/SWDE/book/book-waterstones/1486.htm",£18.99
"/media/Dados/bases/SWDE/book/book-waterstones/0260.htm",£4.79
"/media/Dados/bases/SWDE/book/book-waterstones/0068.htm",£6.49
"/media/Dados/bases/SWDE/book/book-waterstones/1162.htm",£10.99
"/media/Dados/bases/SWDE/book/book-waterstones/0077.htm",£14.19
"/media/Dados/bases/SWDE/book/book-waterstones/0370.htm",£4.59
"/media/Dados/bases/SWDE/book/book-waterstones/0382.htm",£9.49
"/media/Dados/bases/SWDE/book/book-waterstones/1793.htm",£10.39
"/media/Dados/bases/SWDE/book/book-waterstones/1753.htm",£11.99
"/media/Dados/bases/SWDE/book/book-waterstones/1389.htm",£8.09
"/media/Dados/bases/SWDE/book/book-waterstones/0056.htm",£6.79
"/media/Dados/bases/SWDE/book/book-waterstones/0746.htm",£5.59
"/media/Dados/bases/SWDE/book/book-waterstones/1907.htm",£7.99
"/media/Dados/bases/SWDE/book/book-waterstones/1281.htm",£10.99
"/media/Dados/bases/SWDE/book/book-waterstones/1225.htm",£8.99
"/media/Dados/bases/SWDE/book/book-waterstones/1264.htm",£7.99
"/media/Dados/bases/SWDE/book/book-waterstones/0312.htm",£9.59
"/media/Dados/bases/SWDE/book/book-waterstones/1255.htm",£12.99
"/media/Dados/bases/SWDE/book/book-waterstones/0047.htm",£8.79
"/media/Dados/bases/SWDE/book/book-waterstones/0477.htm",£16.10
"/media/Dados/bases/SWDE/book/book-waterstones/0540.htm",£12.99
"/media/Dados/bases/SWDE/book/book-waterstones/1808.htm",£16.00
"/media/Dados/bases/SWDE/book/book-waterstones/0180.htm",£8.79
"/media/Dados/bases/SWDE/book/book-waterstones/0057.htm",£18.99
"/media/Dados/bases/SWDE/book/book-waterstones/1303.htm",£5.89
"/media/Dados/bases/SWDE/book/book-waterstones/0484.htm",£16.99
"/media/Dados/bases/SWDE/book/book-waterstones/1439.htm",£15.00
"/media/Dados/bases/SWDE/book/book-waterstones/1820.htm",£6.39
"/media/Dados/bases/SWDE/book/book-waterstones/1121.htm",£9.29
"/media/Dados/bases/SWDE/book/book-waterstones/0854.htm",£15.60
"/media/Dados/bases/SWDE/book/book-waterstones/0526.htm",£7.50
"/media/Dados/bases/SWDE/book/book-waterstones/0926.htm",£20.90
"/media/Dados/bases/SWDE/book/book-waterstones/0529.htm",£4.99
"/media/Dados/bases/SWDE/book/book-waterstones/1953.htm",£38.95
"/media/Dados/bases/SWDE/book/book-waterstones/1332.htm",£4.79
"/media/Dados/bases/SWDE/book/book-waterstones/1445.htm",£18.99
"/media/Dados/bases/SWDE/book/book-waterstones/0964.htm",£7.19
"/media/Dados/bases/SWDE/book/book-waterstones/1203.htm",£8.09
"/media/Dados/bases/SWDE/book/book-waterstones/0894.htm",£16.99
"/media/Dados/bases/SWDE/book/book-waterstones/0114.htm",£10.00
"/media/Dados/bases/SWDE/book/book-waterstones/0173.htm",£7.99
"/media/Dados/bases/SWDE/book/book-waterstones/1048.htm",£7.99
"/media/Dados/bases/SWDE/book/book-waterstones/1832.htm",£4.79
"/media/Dados/bases/SWDE/book/book-waterstones/1394.htm",£7.99
"/media/Dados/bases/SWDE/book/book-waterstones/1352.htm",£12.69
"/media/Dados/bases/SWDE/book/book-waterstones/1095.htm",£5.19
"/media/Dados/bases/SWDE/book/book-waterstones/0638.htm",£8.99
"/media/Dados/bases/SWDE/book/book-waterstones/0983.htm",£18.99
"/media/Dados/bases/SWDE/book/book-waterstones/0429.htm",£7.99
"/media/Dados/bases/SWDE/book/book-waterstones/1324.htm",£8.79
"/media/Dados/bases/SWDE/book/book-waterstones/0146.htm",£18.99
"/media/Dados/bases/SWDE/book/book-waterstones/1957.htm",£7.59
"/media/Dados/bases/SWDE/book/book-waterstones/1337.htm",£2.50
"/media/Dados/bases/SWDE/book/book-waterstones/1379.htm",£5.89
"/media/Dados/bases/SWDE/book/book-waterstones/0647.htm",£6.39
"/media/Dados/bases/SWDE/book/book-waterstones/1584.htm",£7.99
"/media/Dados/bases/SWDE/book/book-waterstones/0161.htm",£6.79
"/media/Dados/bases/SWDE/book/book-waterstones/1200.htm",£7.19
"/media/Dados/bases/SWDE/book/book-waterstones/0866.htm",£5.19
"/media/Dados/bases/SWDE/book/book-waterstones/1922.htm",£6.79
"/media/Dados/bases/SWDE/book/book-waterstones/0332.htm",£4.79
"/media/Dados/bases/SWDE/book/book-waterstones/0963.htm",£7.19
"/media/Dados/bases/SWDE/book/book-waterstones/1622.htm",£5.59
"/media/Dados/bases/SWDE/book/book-waterstones/0704.htm",£24.02
"/media/Dados/bases/SWDE/book/book-waterstones/0283.htm",£2.99
"/media/Dados/bases/SWDE/book/book-waterstones/1063.htm",£16.10
"/media/Dados/bases/SWDE/book/book-waterstones/0063.htm",£2.99
"/media/Dados/bases/SWDE/book/book-waterstones/1056.htm",£10.49
"/media/Dados/bases/SWDE/book/book-waterstones/1778.htm",£10.00
"/media/Dados/bases/SWDE/book/book-waterstones/0780.htm",£6.39
"/media/Dados/bases/SWDE/book/book-waterstones/0689.htm",£5.79
"/media/Dados/bases/SWDE/book/book-waterstones/1729.htm",£8.99
"/media/Dados/bases/SWDE/book/book-waterstones/0956.htm",£7.19
"/media/Dados/bases/SWDE/book/book-waterstones/1270.htm",£5.99
"/media/Dados/bases/SWDE/book/book-waterstones/0940.htm",£5.59
"/media/Dados/bases/SWDE/book/book-waterstones/1047.htm",£11.99
"/media/Dados/bases/SWDE/book/book-waterstones/1620.htm",£7.20
"/media/Dados/bases/SWDE/book/book-waterstones/0155.htm",£11.69
"/media/Dados/bases/SWDE/book/book-waterstones/1752.htm",£6.49
"/media/Dados/bases/SWDE/book/book-waterstones/1285.htm",£13.49
"/media/Dados/bases/SWDE/book/book-waterstones/1503.htm",£12.79
"/media/Dados/bases/SWDE/book/book-waterstones/0049.htm",£7.19
"/media/Dados/bases/SWDE/book/book-waterstones/1857.htm",£5.59
"/media/Dados/bases/SWDE/book/book-waterstones/0352.htm",£6.39
"/media/Dados/bases/SWDE/book/book-waterstones/1274.htm",£6.39
"/media/Dados/bases/SWDE/book/book-waterstones/0339.htm",£4.79
"/media/Dados/bases/SWDE/book/book-waterstones/0439.htm",£7.69
"/media/Dados/bases/SWDE/book/book-waterstones/0829.htm",£4.19
"/media/Dados/bases/SWDE/book/book-waterstones/1376.htm",£17.99
"/media/Dados/bases/SWDE/book/book-waterstones/1675.htm",£8.49
"/media/Dados/bases/SWDE/book/book-waterstones/1013.htm",£8.79
"/media/Dados/bases/SWDE/book/book-waterstones/1328.htm",£7.19
"/media/Dados/bases/SWDE/book/book-waterstones/1725.htm",£6.39
"/media/Dados/bases/SWDE/book/book-waterstones/1754.htm",£3.39
"/media/Dados/bases/SWDE/book/book-waterstones/1841.htm",£6.39
"/media/Dados/bases/SWDE/book/book-waterstones/1103.htm",£9.50
"/media/Dados/bases/SWDE/book/book-waterstones/1994.htm",£5.89
"/media/Dados/bases/SWDE/book/book-waterstones/0547.htm",£9.89
"/media/Dados/bases/SWDE/book/book-waterstones/1237.htm",£16.99
"/media/Dados/bases/SWDE/book/book-waterstones/1160.htm",£24.99
"/media/Dados/bases/SWDE/book/book-waterstones/1776.htm",£7.19
"/media/Dados/bases/SWDE/book/book-waterstones/0024.htm",£15.19
"/media/Dados/bases/SWDE/book/book-waterstones/0904.htm",£6.79
"/media/Dados/bases/SWDE/book/book-waterstones/0555.htm",£4.19
"/media/Dados/bases/SWDE/book/book-waterstones/0290.htm",£4.79
"/media/Dados/bases/SWDE/book/book-waterstones/0548.htm",£11.69
"/media/Dados/bases/SWDE/book/book-waterstones/1979.htm",£7.19
"/media/Dados/bases/SWDE/book/book-waterstones/0287.htm",£4.79
"/media/Dados/bases/SWDE/book/book-waterstones/1193.htm",£1.99
"/media/Dados/bases/SWDE/book/book-waterstones/0992.htm",£10.39
"/media/Dados/bases/SWDE/book/book-waterstones/1838.htm",£4.89
"/media/Dados/bases/SWDE/book/book-waterstones/0319.htm",£4.99
"/media/Dados/bases/SWDE/book/book-waterstones/0791.htm",£6.49
"/media/Dados/bases/SWDE/book/book-waterstones/0833.htm",£5.19
"/media/Dados/bases/SWDE/book/book-waterstones/1298.htm",£7.59
"/media/Dados/bases/SWDE/book/book-waterstones/1529.htm",£7.95
"/media/Dados/bases/SWDE/book/book-waterstones/0454.htm",£10.19
"/media/Dados/bases/SWDE/book/book-waterstones/0649.htm",£5.89
"/media/Dados/bases/SWDE/book/book-waterstones/0100.htm",£4.89
"/media/Dados/bases/SWDE/book/book-waterstones/1182.htm",£20.10
"/media/Dados/bases/SWDE/book/book-waterstones/1361.htm",£15.19
"/media/Dados/bases/SWDE/book/book-waterstones/1918.htm",£6.29
"/media/Dados/bases/SWDE/book/book-waterstones/1597.htm",£10.39
"/media/Dados/bases/SWDE/book/book-waterstones/1682.htm",£7.99
"/media/Dados/bases/SWDE/book/book-waterstones/1935.htm",£8.49
"/media/Dados/bases/SWDE/book/book-waterstones/0776.htm",£4.89
"/media/Dados/bases/SWDE/book/book-waterstones/1402.htm",£4.49
"/media/Dados/bases/SWDE/book/book-waterstones/0805.htm",£15.29
"/media/Dados/bases/SWDE/book/book-waterstones/1946.htm",£7.59
"/media/Dados/bases/SWDE/book/book-waterstones/0771.htm",£6.99
"/media/Dados/bases/SWDE/book/book-waterstones/0750.htm",£7.99
"/media/Dados/bases/SWDE/book/book-waterstones/0231.htm",£5.99
"/media/Dados/bases/SWDE/book/book-waterstones/0749.htm",£4.59
"/media/Dados/bases/SWDE/book/book-waterstones/1471.htm",£10.39
"/media/Dados/bases/SWDE/book/book-waterstones/0729.htm",£8.99
"/media/Dados/bases/SWDE/book/book-waterstones/0827.htm",£9.49
"/media/Dados/bases/SWDE/book/book-waterstones/0414.htm",£8.50
"/media/Dados/bases/SWDE/book/book-waterstones/1374.htm",£10.99
"/media/Dados/bases/SWDE/book/book-waterstones/1598.htm",£11.99
"/media/Dados/bases/SWDE/book/book-waterstones/0874.htm",£4.19
"/media/Dados/bases/SWDE/book/book-waterstones/0617.htm",£17.09
"/media/Dados/bases/SWDE/book/book-waterstones/1817.htm",£7.99
"/media/Dados/bases/SWDE/book/book-waterstones/0314.htm",£4.79
"/media/Dados/bases/SWDE/book/book-waterstones/1090.htm",£10.39
"/media/Dados/bases/SWDE/book/book-waterstones/1081.htm",£8.49
"/media/Dados/bases/SWDE/book/book-waterstones/1216.htm",£26.29
"/media/Dados/bases/SWDE/book/book-waterstones/0659.htm",£6.39
"/media/Dados/bases/SWDE/book/book-waterstones/0668.htm",£16.50
"/media/Dados/bases/SWDE/book/book-waterstones/1106.htm",£16.99
"/media/Dados/bases/SWDE/book/book-waterstones/1839.htm",£5.19
"/media/Dados/bases/SWDE/book/book-waterstones/0711.htm",£7.19
"/media/Dados/bases/SWDE/book/book-waterstones/1117.htm",£15.19
"/media/Dados/bases/SWDE/book/book-waterstones/0809.htm",£7.69
"/media/Dados/bases/SWDE/book/book-waterstones/0634.htm",£18.99
"/media/Dados/bases/SWDE/book/book-waterstones/1739.htm",£5.69
"/media/Dados/bases/SWDE/book/book-waterstones/0321.htm",£6.59
"/media/Dados/bases/SWDE/book/book-waterstones/0889.htm",£20.10
"/media/Dados/bases/SWDE/book/book-waterstones/1625.htm",£7.99
"/media/Dados/bases/SWDE/book/book-waterstones/0598.htm",£5.59
"/media/Dados/bases/SWDE/book/book-waterstones/0869.htm",£5.59
"/media/Dados/bases/SWDE/book/book-waterstones/1449.htm",£6.39
"/media/Dados/bases/SWDE/book/book-waterstones/1709.htm",£7.19
"/media/Dados/bases/SWDE/book/book-waterstones/0778.htm",£7.19
"/media/Dados/bases/SWDE/book/book-waterstones/1370.htm",£6.49
"/media/Dados/bases/SWDE/book/book-waterstones/1301.htm",£7.99
"/media/Dados/bases/SWDE/book/book-waterstones/0610.htm",£9.49
"/media/Dados/bases/SWDE/book/book-waterstones/0501.htm",£13.40
"/media/Dados/bases/SWDE/book/book-waterstones/0887.htm",£16.10
"/media/Dados/bases/SWDE/book/book-waterstones/0683.htm",£16.49
"/media/Dados/bases/SWDE/book/book-waterstones/1666.htm",£18.99
"/media/Dados/bases/SWDE/book/book-waterstones/1086.htm",£30.00
"/media/Dados/bases/SWDE/book/book-waterstones/1855.htm",£7.19
"/media/Dados/bases/SWDE/book/book-waterstones/1343.htm",£9.95
"/media/Dados/bases/SWDE/book/book-waterstones/1391.htm",£7.19
"/media/Dados/bases/SWDE/book/book-waterstones/0361.htm",£6.49
"/media/Dados/bases/SWDE/book/book-waterstones/0264.htm",£4.89
"/media/Dados/bases/SWDE/book/book-waterstones/0443.htm",£4.59
"/media/Dados/bases/SWDE/book/book-waterstones/0669.htm",£4.79
"/media/Dados/bases/SWDE/book/book-waterstones/0458.htm",£2.79
"/media/Dados/bases/SWDE/book/book-waterstones/0952.htm",£6.79
"/media/Dados/bases/SWDE/book/book-waterstones/0978.htm",£9.09
"/media/Dados/bases/SWDE/book/book-waterstones/1102.htm",£25.00
"/media/Dados/bases/SWDE/book/book-waterstones/1252.htm",£16.19
"/media/Dados/bases/SWDE/book/book-waterstones/0602.htm",£10.49
"/media/Dados/bases/SWDE/book/book-waterstones/0803.htm",£16.10
"/media/Dados/bases/SWDE/book/book-waterstones/0816.htm",£5.19
"/media/Dados/bases/SWDE/book/book-waterstones/1767.htm",£12.99
"/media/Dados/bases/SWDE/book/book-waterstones/1036.htm",£7.99
"/media/Dados/bases/SWDE/book/book-waterstones/0608.htm",£5.99
"/media/Dados/bases/SWDE/book/book-waterstones/1782.htm",£2.00
"/media/Dados/bases/SWDE/book/book-waterstones/1670.htm",£7.59
"/media/Dados/bases/SWDE/book/book-waterstones/1690.htm",£16.99
"/media/Dados/bases/SWDE/book/book-waterstones/1869.htm",£4.79
"/media/Dados/bases/SWDE/book/book-waterstones/0038.htm",£4.49
"/media/Dados/bases/SWDE/book/book-waterstones/0583.htm",£6.49
"/media/Dados/bases/SWDE/book/book-waterstones/1152.htm",£6.39
"/media/Dados/bases/SWDE/book/book-waterstones/1732.htm",£16.59
"/media/Dados/bases/SWDE/book/book-waterstones/0301.htm",£6.49
"/media/Dados/bases/SWDE/book/book-waterstones/1870.htm",£4.89
