URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/camera/camera-amazon/0709.htm",7 new
"/media/Dados/bases/SWDE/camera/camera-amazon/0079.htm",2 new
"/media/Dados/bases/SWDE/camera/camera-amazon/0795.htm",15 new
"/media/Dados/bases/SWDE/camera/camera-amazon/1073.htm",20 new
"/media/Dados/bases/SWDE/camera/camera-amazon/1029.htm",8 new
"/media/Dados/bases/SWDE/camera/camera-amazon/1281.htm",4 new
"/media/Dados/bases/SWDE/camera/camera-amazon/1661.htm",2 new
"/media/Dados/bases/SWDE/camera/camera-amazon/1127.htm",1 used
"/media/Dados/bases/SWDE/camera/camera-amazon/1730.htm",1 used
"/media/Dados/bases/SWDE/camera/camera-amazon/0698.htm",15 new
"/media/Dados/bases/SWDE/camera/camera-amazon/0743.htm",7 new
"/media/Dados/bases/SWDE/camera/camera-amazon/0252.htm",2 new
"/media/Dados/bases/SWDE/camera/camera-amazon/0228.htm",5 new
"/media/Dados/bases/SWDE/camera/camera-amazon/0575.htm",10 new
"/media/Dados/bases/SWDE/camera/camera-amazon/1735.htm",3 new
"/media/Dados/bases/SWDE/camera/camera-amazon/1684.htm",4 new
"/media/Dados/bases/SWDE/camera/camera-amazon/0716.htm",3 new
"/media/Dados/bases/SWDE/camera/camera-amazon/0352.htm",14 new
"/media/Dados/bases/SWDE/camera/camera-amazon/0636.htm",7 new
"/media/Dados/bases/SWDE/camera/camera-amazon/1745.htm",5 new
"/media/Dados/bases/SWDE/camera/camera-amazon/1246.htm",7 new
"/media/Dados/bases/SWDE/camera/camera-amazon/0111.htm",5 new
"/media/Dados/bases/SWDE/camera/camera-amazon/0077.htm",4 new
"/media/Dados/bases/SWDE/camera/camera-amazon/0637.htm",6 new
"/media/Dados/bases/SWDE/camera/camera-amazon/0387.htm",12 new
"/media/Dados/bases/SWDE/camera/camera-amazon/1634.htm",2 new
"/media/Dados/bases/SWDE/camera/camera-amazon/0695.htm",8 new
"/media/Dados/bases/SWDE/camera/camera-amazon/0219.htm",7 new
"/media/Dados/bases/SWDE/camera/camera-amazon/0078.htm",4 new
"/media/Dados/bases/SWDE/camera/camera-amazon/0391.htm",12 new
"/media/Dados/bases/SWDE/camera/camera-amazon/0867.htm",17 new
