URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/camera/camera-beachaudio/0110.htm",Manual
"/media/Dados/bases/SWDE/camera/camera-beachaudio/0061.htm",Night Scene Portrait
"/media/Dados/bases/SWDE/camera/camera-beachaudio/0109.htm",Manual
"/media/Dados/bases/SWDE/camera/camera-beachaudio/0001.htm",Tv
"/media/Dados/bases/SWDE/camera/camera-beachaudio/0117.htm",Portrait Enhancer
"/media/Dados/bases/SWDE/camera/camera-beachaudio/0215.htm",Magic Filter
"/media/Dados/bases/SWDE/camera/camera-beachaudio/0195.htm",Magic Filter
"/media/Dados/bases/SWDE/camera/camera-beachaudio/0169.htm",Video
"/media/Dados/bases/SWDE/camera/camera-beachaudio/0170.htm",Video
"/media/Dados/bases/SWDE/camera/camera-beachaudio/0107.htm",Manual
"/media/Dados/bases/SWDE/camera/camera-beachaudio/0171.htm",Video
"/media/Dados/bases/SWDE/camera/camera-beachaudio/0062.htm",Night Scene Portrait
