URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/camera/camera-buy/0324.htm",Maximum Video Resolution
"/media/Dados/bases/SWDE/camera/camera-buy/0315.htm",Language Support
"/media/Dados/bases/SWDE/camera/camera-buy/0346.htm",Weight (Approximate)
"/media/Dados/bases/SWDE/camera/camera-buy/0481.htm",Features
"/media/Dados/bases/SWDE/camera/camera-buy/0057.htm",Minimum Focus Distance
"/media/Dados/bases/SWDE/camera/camera-buy/0303.htm",Lens Construction
"/media/Dados/bases/SWDE/camera/camera-buy/0469.htm",Features
"/media/Dados/bases/SWDE/camera/camera-buy/0475.htm",Features
"/media/Dados/bases/SWDE/camera/camera-buy/0337.htm",Weight (Approximate)
"/media/Dados/bases/SWDE/camera/camera-buy/0461.htm",Image Stabilization
"/media/Dados/bases/SWDE/camera/camera-buy/0264.htm",Video Formats
"/media/Dados/bases/SWDE/camera/camera-buy/0081.htm",Focal Length (35mm Equivalent)
"/media/Dados/bases/SWDE/camera/camera-buy/0288.htm",Product Line
"/media/Dados/bases/SWDE/camera/camera-buy/0449.htm",Lens Construction
"/media/Dados/bases/SWDE/camera/camera-buy/0411.htm",Features
"/media/Dados/bases/SWDE/camera/camera-buy/0244.htm",Maximum Video Resolution
"/media/Dados/bases/SWDE/camera/camera-buy/0128.htm",Features
"/media/Dados/bases/SWDE/camera/camera-buy/0211.htm",Maximum Video Resolution
"/media/Dados/bases/SWDE/camera/camera-buy/0311.htm",Height
"/media/Dados/bases/SWDE/camera/camera-buy/0480.htm",Wide Angle
"/media/Dados/bases/SWDE/camera/camera-buy/0008.htm",Product Line
"/media/Dados/bases/SWDE/camera/camera-buy/0023.htm",Digital Zoom
"/media/Dados/bases/SWDE/camera/camera-buy/0274.htm",Language Support
"/media/Dados/bases/SWDE/camera/camera-buy/0065.htm",Focal Length (35mm Equivalent)
"/media/Dados/bases/SWDE/camera/camera-buy/0176.htm",Flash Memory Capacity
"/media/Dados/bases/SWDE/camera/camera-buy/0006.htm",Height
"/media/Dados/bases/SWDE/camera/camera-buy/0338.htm",Weight (Approximate)
"/media/Dados/bases/SWDE/camera/camera-buy/0113.htm",Wide Angle
"/media/Dados/bases/SWDE/camera/camera-buy/0146.htm",Standard Warranty
"/media/Dados/bases/SWDE/camera/camera-buy/0174.htm",Wide Angle
