URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/camera/camera-compsource/0212.htm",Email Alert
"/media/Dados/bases/SWDE/camera/camera-compsource/0148.htm",Email Alert
"/media/Dados/bases/SWDE/camera/camera-compsource/0280.htm",Email Alert
"/media/Dados/bases/SWDE/camera/camera-compsource/0232.htm",Email Alert
"/media/Dados/bases/SWDE/camera/camera-compsource/0229.htm",Email Alert
"/media/Dados/bases/SWDE/camera/camera-compsource/0213.htm",Email Alert
"/media/Dados/bases/SWDE/camera/camera-compsource/0203.htm",Email Alert
"/media/Dados/bases/SWDE/camera/camera-compsource/0279.htm",Email Alert
"/media/Dados/bases/SWDE/camera/camera-compsource/0194.htm",Email Alert
"/media/Dados/bases/SWDE/camera/camera-compsource/0183.htm",Email Alert
"/media/Dados/bases/SWDE/camera/camera-compsource/0178.htm",Email Alert
"/media/Dados/bases/SWDE/camera/camera-compsource/0211.htm",Email Alert
"/media/Dados/bases/SWDE/camera/camera-compsource/0161.htm",Email Alert
"/media/Dados/bases/SWDE/camera/camera-compsource/0230.htm",Email Alert
"/media/Dados/bases/SWDE/camera/camera-compsource/0278.htm",Email Alert
"/media/Dados/bases/SWDE/camera/camera-compsource/0200.htm",Email Alert
"/media/Dados/bases/SWDE/camera/camera-compsource/0159.htm",Email Alert
"/media/Dados/bases/SWDE/camera/camera-compsource/0147.htm",Email Alert
"/media/Dados/bases/SWDE/camera/camera-compsource/0201.htm",Email Alert
"/media/Dados/bases/SWDE/camera/camera-compsource/0142.htm",Email Alert
"/media/Dados/bases/SWDE/camera/camera-compsource/0152.htm",Email Alert
"/media/Dados/bases/SWDE/camera/camera-compsource/0199.htm",Email Alert
"/media/Dados/bases/SWDE/camera/camera-compsource/0202.htm",Email Alert
"/media/Dados/bases/SWDE/camera/camera-compsource/0158.htm",Email Alert
"/media/Dados/bases/SWDE/camera/camera-compsource/0175.htm",Email Alert
"/media/Dados/bases/SWDE/camera/camera-compsource/0192.htm",Email Alert
"/media/Dados/bases/SWDE/camera/camera-compsource/0197.htm",Email Alert
"/media/Dados/bases/SWDE/camera/camera-compsource/0153.htm",Email Alert
"/media/Dados/bases/SWDE/camera/camera-compsource/0198.htm",Email Alert
"/media/Dados/bases/SWDE/camera/camera-compsource/0233.htm",Email Alert
"/media/Dados/bases/SWDE/camera/camera-compsource/0173.htm",Email Alert
"/media/Dados/bases/SWDE/camera/camera-compsource/0167.htm",Email Alert
