URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/camera/camera-ecost/0039.htm",Image Stabilization (Electronic)
"/media/Dados/bases/SWDE/camera/camera-ecost/0688.htm",Metering frame is fixed to the center
"/media/Dados/bases/SWDE/camera/camera-ecost/0561.htm",Metering frame is fixed to the center
"/media/Dados/bases/SWDE/camera/camera-ecost/0616.htm",Secure Digital card for expandable memory
"/media/Dados/bases/SWDE/camera/camera-ecost/0032.htm",Red-eye Reduction
"/media/Dados/bases/SWDE/camera/camera-ecost/0597.htm",** Metering frame is fixed to the center
"/media/Dados/bases/SWDE/camera/camera-ecost/0428.htm",Metering frame is fixed to the center
"/media/Dados/bases/SWDE/camera/camera-ecost/0821.htm",Red-eye Reduction
"/media/Dados/bases/SWDE/camera/camera-ecost/0841.htm","Sharpness: high, normal, low"
"/media/Dados/bases/SWDE/camera/camera-ecost/0159.htm",Facial brightness is also evaluated in Face Detect AiAF
"/media/Dados/bases/SWDE/camera/camera-ecost/0564.htm",Metering frame is fixed to the center
"/media/Dados/bases/SWDE/camera/camera-ecost/0651.htm","Scene modes portrait, night portrait, landscape, night landscape, panorama R-L,"
"/media/Dados/bases/SWDE/camera/camera-ecost/0791.htm",Metering frame is fixed to the center
"/media/Dados/bases/SWDE/camera/camera-ecost/0153.htm",Metering frame is fixed to the center
"/media/Dados/bases/SWDE/camera/camera-ecost/0895.htm",Metering frame is fixed to the center
"/media/Dados/bases/SWDE/camera/camera-ecost/0619.htm",10.1 MP (3664 × 2748)
"/media/Dados/bases/SWDE/camera/camera-ecost/0825.htm",Facial brightness is also evaluated in Face Detect AiAF
"/media/Dados/bases/SWDE/camera/camera-ecost/0538.htm",Single Image - Slow Playback (Movie) No
"/media/Dados/bases/SWDE/camera/camera-ecost/0307.htm","Sensitivity (Equivalent Film Speed) Auto, ISO 80/100/200/400/800/1600"
"/media/Dados/bases/SWDE/camera/camera-ecost/0137.htm",** Metering frame is fixed to the center
"/media/Dados/bases/SWDE/camera/camera-ecost/0095.htm",Red-eye Reduction
"/media/Dados/bases/SWDE/camera/camera-ecost/0598.htm",** Metering frame is fixed to the center
"/media/Dados/bases/SWDE/camera/camera-ecost/0624.htm",Red-eye Reduction
"/media/Dados/bases/SWDE/camera/camera-ecost/0632.htm",8.9 MP (3667 × 2442)—3:2
"/media/Dados/bases/SWDE/camera/camera-ecost/0696.htm",Audio Recording
"/media/Dados/bases/SWDE/camera/camera-ecost/0563.htm",Control to incorporate facial brightness in Face Detection AF
"/media/Dados/bases/SWDE/camera/camera-ecost/0023.htm",10.7 MP (4000 × 2264)—3:2
"/media/Dados/bases/SWDE/camera/camera-ecost/0843.htm",Red-eye Reduction
"/media/Dados/bases/SWDE/camera/camera-ecost/0652.htm",Red-eye Reduction
"/media/Dados/bases/SWDE/camera/camera-ecost/0584.htm",Red-eye Reduction
"/media/Dados/bases/SWDE/camera/camera-ecost/0596.htm",2 Fixed to center or linked to the AF frame.
"/media/Dados/bases/SWDE/camera/camera-ecost/0104.htm",Red-eye Reduction
"/media/Dados/bases/SWDE/camera/camera-ecost/0258.htm",Red-eye Reduction
"/media/Dados/bases/SWDE/camera/camera-ecost/0844.htm",Metering frame is fixed to the center
"/media/Dados/bases/SWDE/camera/camera-ecost/0046.htm",Red-eye Reduction
"/media/Dados/bases/SWDE/camera/camera-ecost/0073.htm",Facial brightness is also evaluated in Face Detect AiAF
"/media/Dados/bases/SWDE/camera/camera-ecost/0298.htm",*Facial brightness is also evaluated in Face Detect AiAF
"/media/Dados/bases/SWDE/camera/camera-ecost/0562.htm",Metering frame is fixed to the center
"/media/Dados/bases/SWDE/camera/camera-ecost/0641.htm","Scene modes portrait, night portrait, landscape, night landscape, panorama R-L,"
"/media/Dados/bases/SWDE/camera/camera-ecost/0077.htm",Red-eye Reduction
"/media/Dados/bases/SWDE/camera/camera-ecost/0380.htm",Red-eye Reduction
"/media/Dados/bases/SWDE/camera/camera-ecost/0594.htm",Red-eye Reduction
"/media/Dados/bases/SWDE/camera/camera-ecost/0036.htm",Facial brightness is also evaluated in Face Detect AF
"/media/Dados/bases/SWDE/camera/camera-ecost/0864.htm",Facial brightness is also evaluated in Face Detect AiAF
"/media/Dados/bases/SWDE/camera/camera-ecost/0566.htm",Metering frame is fixed to the center
"/media/Dados/bases/SWDE/camera/camera-ecost/0565.htm",Metering frame is fixed to the center
"/media/Dados/bases/SWDE/camera/camera-ecost/0379.htm",Red-eye Reduction
"/media/Dados/bases/SWDE/camera/camera-ecost/0064.htm",** Metering frame is fixed to the center
"/media/Dados/bases/SWDE/camera/camera-ecost/0028.htm","Sharpness : high, normal (default), low"
"/media/Dados/bases/SWDE/camera/camera-ecost/0292.htm",Red-eye Reduction
