URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/camera/camera-jr/0248.htm",A/V
"/media/Dados/bases/SWDE/camera/camera-jr/0052.htm",Battery
"/media/Dados/bases/SWDE/camera/camera-jr/0233.htm",USB
"/media/Dados/bases/SWDE/camera/camera-jr/0226.htm",USB
"/media/Dados/bases/SWDE/camera/camera-jr/0073.htm",USB
"/media/Dados/bases/SWDE/camera/camera-jr/0201.htm",Lens
"/media/Dados/bases/SWDE/camera/camera-jr/0095.htm",Battery
"/media/Dados/bases/SWDE/camera/camera-jr/0218.htm",CD-ROM
"/media/Dados/bases/SWDE/camera/camera-jr/0085.htm",Battery
"/media/Dados/bases/SWDE/camera/camera-jr/0040.htm",Battery
