URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/camera/camera-newegg/0215.htm",Battery
"/media/Dados/bases/SWDE/camera/camera-newegg/0011.htm",Battery
"/media/Dados/bases/SWDE/camera/camera-newegg/0097.htm",HDMI
"/media/Dados/bases/SWDE/camera/camera-newegg/0117.htm",Battery
"/media/Dados/bases/SWDE/camera/camera-newegg/0037.htm",A/V Out
"/media/Dados/bases/SWDE/camera/camera-newegg/0049.htm",A/V Out
"/media/Dados/bases/SWDE/camera/camera-newegg/0114.htm",Shockproof
"/media/Dados/bases/SWDE/camera/camera-newegg/0089.htm",Battery
"/media/Dados/bases/SWDE/camera/camera-newegg/0085.htm",Battery
"/media/Dados/bases/SWDE/camera/camera-newegg/0127.htm",Shockproof
"/media/Dados/bases/SWDE/camera/camera-newegg/0006.htm",HDMI
"/media/Dados/bases/SWDE/camera/camera-newegg/0013.htm",Battery
"/media/Dados/bases/SWDE/camera/camera-newegg/0027.htm",Battery
"/media/Dados/bases/SWDE/camera/camera-newegg/0078.htm",Battery
"/media/Dados/bases/SWDE/camera/camera-newegg/0050.htm",A/V Out
"/media/Dados/bases/SWDE/camera/camera-newegg/0030.htm",Battery
"/media/Dados/bases/SWDE/camera/camera-newegg/0149.htm",Battery
"/media/Dados/bases/SWDE/camera/camera-newegg/0175.htm",Battery
"/media/Dados/bases/SWDE/camera/camera-newegg/0041.htm",Battery
"/media/Dados/bases/SWDE/camera/camera-newegg/0038.htm",Battery
"/media/Dados/bases/SWDE/camera/camera-newegg/0120.htm",Battery
"/media/Dados/bases/SWDE/camera/camera-newegg/0115.htm",A/V Out
"/media/Dados/bases/SWDE/camera/camera-newegg/0040.htm",HDMI
"/media/Dados/bases/SWDE/camera/camera-newegg/0051.htm",HDMI
"/media/Dados/bases/SWDE/camera/camera-newegg/0004.htm",A/V Out
"/media/Dados/bases/SWDE/camera/camera-newegg/0091.htm",Battery
"/media/Dados/bases/SWDE/camera/camera-newegg/0052.htm",Battery
"/media/Dados/bases/SWDE/camera/camera-newegg/0123.htm",A/V Out
"/media/Dados/bases/SWDE/camera/camera-newegg/0005.htm",Battery
"/media/Dados/bases/SWDE/camera/camera-newegg/0044.htm",Battery
"/media/Dados/bases/SWDE/camera/camera-newegg/0010.htm",Battery
"/media/Dados/bases/SWDE/camera/camera-newegg/0182.htm",Battery
"/media/Dados/bases/SWDE/camera/camera-newegg/0116.htm",Battery
"/media/Dados/bases/SWDE/camera/camera-newegg/0151.htm",Battery
"/media/Dados/bases/SWDE/camera/camera-newegg/0017.htm",Shockproof
"/media/Dados/bases/SWDE/camera/camera-newegg/0016.htm",Shockproof
"/media/Dados/bases/SWDE/camera/camera-newegg/0031.htm",Battery
"/media/Dados/bases/SWDE/camera/camera-newegg/0211.htm",Battery
"/media/Dados/bases/SWDE/camera/camera-newegg/0061.htm",A/V Out
"/media/Dados/bases/SWDE/camera/camera-newegg/0001.htm",A/V Out
"/media/Dados/bases/SWDE/camera/camera-newegg/0065.htm",A/V Out
"/media/Dados/bases/SWDE/camera/camera-newegg/0033.htm",Battery
"/media/Dados/bases/SWDE/camera/camera-newegg/0043.htm",HDMI
