URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/camera/camera-onsale/0043.htm",Auto Focus Points (Zones)
"/media/Dados/bases/SWDE/camera/camera-onsale/0210.htm",Auto Focus
"/media/Dados/bases/SWDE/camera/camera-onsale/0068.htm",Auto Focus
"/media/Dados/bases/SWDE/camera/camera-onsale/0117.htm",Auto Focus
"/media/Dados/bases/SWDE/camera/camera-onsale/0014.htm",Auto Focus Points (Zones)
"/media/Dados/bases/SWDE/camera/camera-onsale/0175.htm",Auto Focus
"/media/Dados/bases/SWDE/camera/camera-onsale/0020.htm",Auto Focus
"/media/Dados/bases/SWDE/camera/camera-onsale/0065.htm",Auto Focus
"/media/Dados/bases/SWDE/camera/camera-onsale/0214.htm",Auto Focus Points (Zones)
"/media/Dados/bases/SWDE/camera/camera-onsale/0161.htm",Auto Focus
"/media/Dados/bases/SWDE/camera/camera-onsale/0085.htm",Auto Focus
"/media/Dados/bases/SWDE/camera/camera-onsale/0133.htm",Auto Focus
"/media/Dados/bases/SWDE/camera/camera-onsale/0073.htm",Auto Focus
"/media/Dados/bases/SWDE/camera/camera-onsale/0128.htm",Auto Focus
"/media/Dados/bases/SWDE/camera/camera-onsale/0046.htm",Auto Focus Points (Zones)
"/media/Dados/bases/SWDE/camera/camera-onsale/0016.htm",Auto Focus
"/media/Dados/bases/SWDE/camera/camera-onsale/0003.htm",Auto Focus Points (Zones)
"/media/Dados/bases/SWDE/camera/camera-onsale/0171.htm",Auto Focus
"/media/Dados/bases/SWDE/camera/camera-onsale/0131.htm",Auto Focus Points (Zones)
"/media/Dados/bases/SWDE/camera/camera-onsale/0069.htm",Auto Focus
"/media/Dados/bases/SWDE/camera/camera-onsale/0204.htm",Focal Length Equivalent to 35mm Camera
"/media/Dados/bases/SWDE/camera/camera-onsale/0167.htm",Auto Focus
"/media/Dados/bases/SWDE/camera/camera-onsale/0130.htm",Auto Focus Points (Zones)
"/media/Dados/bases/SWDE/camera/camera-onsale/0216.htm",Auto Focus Points (Zones)
"/media/Dados/bases/SWDE/camera/camera-onsale/0036.htm",Auto Focus
"/media/Dados/bases/SWDE/camera/camera-onsale/0126.htm",Auto Focus Points (Zones)
"/media/Dados/bases/SWDE/camera/camera-onsale/0163.htm",Auto Focus
"/media/Dados/bases/SWDE/camera/camera-onsale/0164.htm",Auto Focus
"/media/Dados/bases/SWDE/camera/camera-onsale/0074.htm",Auto Focus
"/media/Dados/bases/SWDE/camera/camera-onsale/0071.htm",Auto Focus
"/media/Dados/bases/SWDE/camera/camera-onsale/0166.htm",Auto Focus
"/media/Dados/bases/SWDE/camera/camera-onsale/0072.htm",Auto Focus
"/media/Dados/bases/SWDE/camera/camera-onsale/0176.htm",Auto Focus
"/media/Dados/bases/SWDE/camera/camera-onsale/0168.htm",Auto Focus
"/media/Dados/bases/SWDE/camera/camera-onsale/0165.htm",Auto Focus
"/media/Dados/bases/SWDE/camera/camera-onsale/0066.htm",Auto Focus
