LABEL,UP_LABEL,UP_VALUE
Add items to your shopping cart,/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/DIV[12]/DIV[16]/text()[1],/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/DIV[12]/DIV[1]/text()[1]
Quantity:,/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/DIV[12]/TABLE[1]/TBODY[1]/TR[1]/TD[4]/DIV[1]/text()[1],/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/DIV[12]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/DIV[1]/A[1]/text()[1]
Quantity:,/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/DIV[12]/TABLE[1]/TBODY[1]/TR[1]/TD[4]/DIV[1]/text()[1],/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/DIV[12]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/DIV[1]/A[2]/text()[1]
Add items to your shopping cart,/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/DIV[12]/DIV[5]/text()[1],/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/DIV[12]/DIV[1]/text()[1]
Quantity:,/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/DIV[12]/TABLE[1]/TBODY[1]/TR[1]/TD[4]/DIV[1]/text()[1],/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/DIV[12]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/DIV[1]/A[1]/text()[1]
Quantity:,/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/DIV[12]/TABLE[1]/TBODY[1]/TR[1]/TD[4]/DIV[1]/text()[1],/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/DIV[12]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/DIV[1]/A[2]/text()[1]
Availability:,/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/DIV[2]/DIV[4]/text()[1],/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/DIV[2]/DIV[4]/FONT[1]/text()[1]
Price:,/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/DIV[2]/DIV[1]/text()[1],/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/DIV[2]/DIV[5]/text()[1]
Price:,/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/DIV[2]/DIV[1]/text()[1],/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/DIV[2]/DIV[5]/text()[1]
Price:,/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/DIV[2]/DIV[1]/text()[1],/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/DIV[2]/DIV[5]/text()[1]
Price:,/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/DIV[2]/DIV[1]/text()[1],/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/DIV[2]/DIV[5]/text()[1]
Availability:,/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/DIV[2]/DIV[4]/text()[1],/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/DIV[2]/DIV[5]/text()[1]
Price:,/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/DIV[2]/DIV[1]/text()[1],/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/DIV[2]/DIV[5]/text()[1]
Add items to your shopping cart,/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/DIV[12]/DIV[5]/text()[1],/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/DIV[12]/DIV[1]/text()[1]
Quantity:,/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/DIV[12]/TABLE[1]/TBODY[1]/TR[1]/TD[4]/DIV[1]/text()[1],/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/DIV[12]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/DIV[1]/A[1]/text()[1]
Quantity:,/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/DIV[12]/TABLE[1]/TBODY[1]/TR[1]/TD[4]/DIV[1]/text()[1],/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/DIV[12]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/DIV[1]/A[2]/text()[1]
In Stock,/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/DIV[12]/TABLE[1]/TBODY[1]/TR[1]/TD[3]/DIV[1]/STRONG[1]/SPAN[2]/text()[1],/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/DIV[12]/TABLE[1]/TBODY[1]/TR[1]/TD[3]/DIV[1]/STRONG[1]/text()[1]
Add items to your shopping cart,/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/DIV[12]/DIV[5]/text()[1],/HTML[1]/BODY[1]/DIV[1]/DIV[1]/FORM[1]/DIV[12]/DIV[1]/text()[1]
