URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/camera/camera-thenerds/0244.htm",fujifilm
"/media/Dados/bases/SWDE/camera/camera-thenerds/0179.htm",cameras
"/media/Dados/bases/SWDE/camera/camera-thenerds/0014.htm",ex-fs10
"/media/Dados/bases/SWDE/camera/camera-thenerds/0168.htm",cameras
"/media/Dados/bases/SWDE/camera/camera-thenerds/0248.htm",fujifilm
"/media/Dados/bases/SWDE/camera/camera-thenerds/0245.htm",fujifilm
"/media/Dados/bases/SWDE/camera/camera-thenerds/0257.htm",camera
"/media/Dados/bases/SWDE/camera/camera-thenerds/0260.htm",camera
"/media/Dados/bases/SWDE/camera/camera-thenerds/0273.htm",fujifilm
"/media/Dados/bases/SWDE/camera/camera-thenerds/0163.htm",polaroid
"/media/Dados/bases/SWDE/camera/camera-thenerds/0078.htm",vq8900
"/media/Dados/bases/SWDE/camera/camera-thenerds/0040.htm",megapixel
"/media/Dados/bases/SWDE/camera/camera-thenerds/0063.htm",megapixel
"/media/Dados/bases/SWDE/camera/camera-thenerds/0276.htm",canon
"/media/Dados/bases/SWDE/camera/camera-thenerds/0306.htm",megapixel
"/media/Dados/bases/SWDE/camera/camera-thenerds/0023.htm",black
"/media/Dados/bases/SWDE/camera/camera-thenerds/0004.htm",06852
"/media/Dados/bases/SWDE/camera/camera-thenerds/0189.htm",kodak easyshare
