URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/job/job-careerbuilder/0675.htm","care; and we invite you to visit our website, apply for a position, and"
"/media/Dados/bases/SWDE/job/job-careerbuilder/0668.htm","care; and we invite you to visit our website, apply for a position, and"
"/media/Dados/bases/SWDE/job/job-careerbuilder/0636.htm","care; and we invite you to visit our website, apply for a position, and"
"/media/Dados/bases/SWDE/job/job-careerbuilder/0749.htm","care; and we invite you to visit our website, apply for a position, and"
"/media/Dados/bases/SWDE/job/job-careerbuilder/0681.htm","care; and we invite you to visit our website, apply for a position, and"
"/media/Dados/bases/SWDE/job/job-careerbuilder/0644.htm","care; and we invite you to visit our website, apply for a position, and"
"/media/Dados/bases/SWDE/job/job-careerbuilder/0746.htm","care; and we invite you to visit our website, apply for a position, and"
"/media/Dados/bases/SWDE/job/job-careerbuilder/0666.htm","care; and we invite you to visit our website, apply for a position, and"
"/media/Dados/bases/SWDE/job/job-careerbuilder/0747.htm","care; and we invite you to visit our website, apply for a position, and"
"/media/Dados/bases/SWDE/job/job-careerbuilder/0665.htm","care; and we invite you to visit our website, apply for a position, and"
"/media/Dados/bases/SWDE/job/job-careerbuilder/0655.htm","care; and we invite you to visit our website, apply for a position, and"
"/media/Dados/bases/SWDE/job/job-careerbuilder/0640.htm","care; and we invite you to visit our website, apply for a position, and"
"/media/Dados/bases/SWDE/job/job-careerbuilder/0744.htm","care; and we invite you to visit our website, apply for a position, and"
"/media/Dados/bases/SWDE/job/job-careerbuilder/0684.htm","care; and we invite you to visit our website, apply for a position, and"
"/media/Dados/bases/SWDE/job/job-careerbuilder/0679.htm","care; and we invite you to visit our website, apply for a position, and"
"/media/Dados/bases/SWDE/job/job-careerbuilder/0690.htm","care; and we invite you to visit our website, apply for a position, and"
"/media/Dados/bases/SWDE/job/job-careerbuilder/0634.htm","care; and we invite you to visit our website, apply for a position, and"
"/media/Dados/bases/SWDE/job/job-careerbuilder/0682.htm","care; and we invite you to visit our website, apply for a position, and"
"/media/Dados/bases/SWDE/job/job-careerbuilder/0664.htm","care; and we invite you to visit our website, apply for a position, and"
"/media/Dados/bases/SWDE/job/job-careerbuilder/0696.htm","care; and we invite you to visit our website, apply for a position, and"
"/media/Dados/bases/SWDE/job/job-careerbuilder/0670.htm","care; and we invite you to visit our website, apply for a position, and"
"/media/Dados/bases/SWDE/job/job-careerbuilder/0680.htm","care; and we invite you to visit our website, apply for a position, and"
"/media/Dados/bases/SWDE/job/job-careerbuilder/0683.htm","care; and we invite you to visit our website, apply for a position, and"
"/media/Dados/bases/SWDE/job/job-careerbuilder/1173.htm","care; and we invite you to visit our website, apply for a position, and"
