URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/job/job-careerbuilder/0911.htm",Description:
"/media/Dados/bases/SWDE/job/job-careerbuilder/1610.htm",Lake Forest
"/media/Dados/bases/SWDE/job/job-careerbuilder/1609.htm",Lake Forest
"/media/Dados/bases/SWDE/job/job-careerbuilder/1395.htm",Department
"/media/Dados/bases/SWDE/job/job-careerbuilder/1396.htm",Department
"/media/Dados/bases/SWDE/job/job-careerbuilder/1391.htm",Job Category
"/media/Dados/bases/SWDE/job/job-careerbuilder/0106.htm",Why StratStaff?
"/media/Dados/bases/SWDE/job/job-careerbuilder/1608.htm",Lake Forest
"/media/Dados/bases/SWDE/job/job-careerbuilder/1606.htm",Lake Forest
"/media/Dados/bases/SWDE/job/job-careerbuilder/1607.htm",Lake Forest
"/media/Dados/bases/SWDE/job/job-careerbuilder/0954.htm","summery of AD, Portfolio Management Strategies"
