URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/job/job-dice/1550.htm","NO phone calls, inquiries, please!"
"/media/Dados/bases/SWDE/job/job-dice/0083.htm","NO phone calls, inquiries, please!"
"/media/Dados/bases/SWDE/job/job-dice/1949.htm","NO phone calls, inquiries, please!"
"/media/Dados/bases/SWDE/job/job-dice/1987.htm","NO phone calls, inquiries, please!"
"/media/Dados/bases/SWDE/job/job-dice/0451.htm","NO phone calls, inquiries, please!"
"/media/Dados/bases/SWDE/job/job-dice/0105.htm","NO phone calls, inquiries, please!"
"/media/Dados/bases/SWDE/job/job-dice/1753.htm","NO phone calls, inquiries, please!"
"/media/Dados/bases/SWDE/job/job-dice/0726.htm","NO phone calls, inquiries, please!"
"/media/Dados/bases/SWDE/job/job-dice/1464.htm","NO phone calls, inquiries, please!"
"/media/Dados/bases/SWDE/job/job-dice/0220.htm","NO phone calls, inquiries, please!"
"/media/Dados/bases/SWDE/job/job-dice/0183.htm","NO phone calls, inquiries, please!"
"/media/Dados/bases/SWDE/job/job-dice/1226.htm","NO phone calls, inquiries, please!"
"/media/Dados/bases/SWDE/job/job-dice/1521.htm","NO phone calls, inquiries, please!"
"/media/Dados/bases/SWDE/job/job-dice/0261.htm","NO phone calls, inquiries, please!"
"/media/Dados/bases/SWDE/job/job-dice/0299.htm","NO phone calls, inquiries, please!"
"/media/Dados/bases/SWDE/job/job-dice/0360.htm","NO phone calls, inquiries, please!"
"/media/Dados/bases/SWDE/job/job-dice/0104.htm","NO phone calls, inquiries, please!"
"/media/Dados/bases/SWDE/job/job-dice/0928.htm","NO phone calls, inquiries, please!"
"/media/Dados/bases/SWDE/job/job-dice/0191.htm","NO phone calls, inquiries, please!"
"/media/Dados/bases/SWDE/job/job-dice/1267.htm","NO phone calls, inquiries, please!"
"/media/Dados/bases/SWDE/job/job-dice/1701.htm","NO phone calls, inquiries, please!"
"/media/Dados/bases/SWDE/job/job-dice/0939.htm","NO phone calls, inquiries, please!"
