URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/job/job-hotjobs/0982.htm","Canoga Park, CA; Northridge, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1726.htm","New York City, NY; Manhattan, NY"
"/media/Dados/bases/SWDE/job/job-hotjobs/0905.htm","Seattle, WA; Bellevue, WA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1481.htm","Foxborough, MA; Providence, RI"
"/media/Dados/bases/SWDE/job/job-hotjobs/1094.htm","fort meade, MD; Columbia, SC"
"/media/Dados/bases/SWDE/job/job-hotjobs/1739.htm","Boston, MA; Cambridge, MA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1143.htm","Cambridge, MA; Boston, MA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1000.htm","New York City, NY; Manhattan, NY"
"/media/Dados/bases/SWDE/job/job-hotjobs/1626.htm","Los Angeles, CA; Burbank, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1124.htm","San Jose , CA; Fremont, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1357.htm","Princeton, NJ; Trenton, NJ"
"/media/Dados/bases/SWDE/job/job-hotjobs/1052.htm","Canonsburg, PA; Pittsburgh, PA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1526.htm","Fort Meade, MD; Annapolis Jct, MD"
"/media/Dados/bases/SWDE/job/job-hotjobs/1502.htm","Bloomingdale, IL; Schaumburg, IL"
"/media/Dados/bases/SWDE/job/job-hotjobs/1523.htm","New York, NY; Hoboken, NJ"
"/media/Dados/bases/SWDE/job/job-hotjobs/1400.htm","Asheville, NC; Johnson City, TN"
"/media/Dados/bases/SWDE/job/job-hotjobs/0955.htm","San Francisco, CA; Oakland, NE"
"/media/Dados/bases/SWDE/job/job-hotjobs/0902.htm","San Francisco, CA; Daly City, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1045.htm","Los Angeles, CA; Phoenix, AZ"
"/media/Dados/bases/SWDE/job/job-hotjobs/1392.htm","Irvine, CA; Santa Ana, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1707.htm","West Hollywood, CA; Culver City, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1697.htm","Burlington, MA; Waltham, MA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1830.htm","Milpitas, CA; San Jose, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/0929.htm","Birmingham, AL; Tuscaloosa, AL"
"/media/Dados/bases/SWDE/job/job-hotjobs/1740.htm","San Francisco, CA; South San Francisco, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1034.htm","San Francisco, CA; San Jose, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1202.htm","Mountain View, CA; Sunnyvale, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1603.htm","Van Nuys, CA; North Hollywood, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/0894.htm","Detroit, MI; Dearborn, MI"
"/media/Dados/bases/SWDE/job/job-hotjobs/1685.htm","San Francisco, CA; Berkeley, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1804.htm","Montecito, CA; Oxnard, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1582.htm","Seattle, WA; San Francisco, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1664.htm","Burlington, MA; Cambridge, MA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1292.htm","Redwood City, CA; Menlo Park, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1517.htm","Dix Hills, NY; Commack, NY"
"/media/Dados/bases/SWDE/job/job-hotjobs/1117.htm","Manhattan, NY; New York, NY"
"/media/Dados/bases/SWDE/job/job-hotjobs/1106.htm","Boston, MA; Cambridge, MA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1752.htm","Irvine, CA; Tustin, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1252.htm","Gardena, CA; Torrance, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1066.htm","Carlsbad, CA; San Diego, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1571.htm","Cleveland, OH; Lakewood, OH"
"/media/Dados/bases/SWDE/job/job-hotjobs/1231.htm","New York City, NY; Manhattan, NY"
"/media/Dados/bases/SWDE/job/job-hotjobs/1005.htm","Boston, MA; Cambridge, MA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1811.htm","Minneapolis, MN; Saint Paul, MN"
"/media/Dados/bases/SWDE/job/job-hotjobs/1722.htm","Washington, DC; Bethesda, MD"
"/media/Dados/bases/SWDE/job/job-hotjobs/1590.htm","Washington, DC; Arlington, VA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1416.htm","Chicago, IL; Evanston, IL"
"/media/Dados/bases/SWDE/job/job-hotjobs/1710.htm","Pasadena, CA; Glendale, CA"
