URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/job/job-hotjobs/0160.htm",BA in Computer Science is preferred.
"/media/Dados/bases/SWDE/job/job-hotjobs/0100.htm",Proven ability to partner with UI and web development teams in order to align online product strategy with market needs
"/media/Dados/bases/SWDE/job/job-hotjobs/1220.htm",Great eye for design and user experience
"/media/Dados/bases/SWDE/job/job-hotjobs/0112.htm","Extensive experience in at least one object-oriented, server-side scripting language such as"
"/media/Dados/bases/SWDE/job/job-hotjobs/0753.htm",Experience with Federal Capital Planning & Investment Control (CPIC) process is desired.
"/media/Dados/bases/SWDE/job/job-hotjobs/0876.htm","Knowledgeable about RIP, OSPF, and BGP routing protocols;"
"/media/Dados/bases/SWDE/job/job-hotjobs/0388.htm",RDBMS
"/media/Dados/bases/SWDE/job/job-hotjobs/0082.htm",Knowledge of Unix/Linux environment and scripting (perl/python)
"/media/Dados/bases/SWDE/job/job-hotjobs/0562.htm",Provides advice and consultation in the role of SME in areas of expertise.
"/media/Dados/bases/SWDE/job/job-hotjobs/0048.htm",certifications - Preferred
