URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/job/job-job/0261.htm",Programming Languages: JAVA
"/media/Dados/bases/SWDE/job/job-job/0611.htm",Operating Systems: UNIX/Linux
"/media/Dados/bases/SWDE/job/job-job/0262.htm",Operating Systems: UNIX/Linux
"/media/Dados/bases/SWDE/job/job-job/0698.htm",Application Frameworks: ASP. NET
"/media/Dados/bases/SWDE/job/job-job/1706.htm",System Architecture/Platform: Enterprise (3/n-tier)
"/media/Dados/bases/SWDE/job/job-job/0612.htm",Application Types: Telecommunication/Mobile phone software
"/media/Dados/bases/SWDE/job/job-job/0328.htm",Operating Systems: UNIX/Linux
"/media/Dados/bases/SWDE/job/job-job/0281.htm",Application Frameworks: . NET Framework
"/media/Dados/bases/SWDE/job/job-job/0877.htm",Programming Languages: C++
"/media/Dados/bases/SWDE/job/job-job/0056.htm",Application Frameworks: . NET Framework
"/media/Dados/bases/SWDE/job/job-job/0294.htm",Programming Languages: JAVA
"/media/Dados/bases/SWDE/job/job-job/1244.htm",Operating Systems: UNIX/Linux
"/media/Dados/bases/SWDE/job/job-job/1698.htm",Operating Systems: Windows
"/media/Dados/bases/SWDE/job/job-job/1254.htm",Application Frameworks: Struts
"/media/Dados/bases/SWDE/job/job-job/1609.htm",Operating Systems: UNIX/Linux
"/media/Dados/bases/SWDE/job/job-job/0327.htm",Application Frameworks: . NET Framework
"/media/Dados/bases/SWDE/job/job-job/0258.htm",Operating Systems: UNIX/Linux
"/media/Dados/bases/SWDE/job/job-job/0257.htm",Application Frameworks: . NET Framework
