URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/job/job-jobtarget/1828.htm",Acts as a mentor and coach to testing specialists and test analysts.
"/media/Dados/bases/SWDE/job/job-jobtarget/0846.htm",Act as a substitute if needed
"/media/Dados/bases/SWDE/job/job-jobtarget/1851.htm",Willingness to travel regularly
"/media/Dados/bases/SWDE/job/job-jobtarget/0482.htm",Cooperate in achieving the objective of eliminating recognized hazards to safety and health; Comply with all Safety and Health rules.
"/media/Dados/bases/SWDE/job/job-jobtarget/1280.htm",Provide customer service and answer to student inquiries.
"/media/Dados/bases/SWDE/job/job-jobtarget/1029.htm",Create and foster a positive work environment
"/media/Dados/bases/SWDE/job/job-jobtarget/0175.htm","Assist in development of services methodology, consistent best practices and services offerings"
"/media/Dados/bases/SWDE/job/job-jobtarget/0226.htm",§ Works with Ross IT group to obtain acceptable data and system reliability performance
"/media/Dados/bases/SWDE/job/job-jobtarget/0075.htm","Consults with team members and other organizations, clients and vendors on complex issues."
"/media/Dados/bases/SWDE/job/job-jobtarget/1386.htm",o Lead daily/weekly focused and cross-functional meetings
"/media/Dados/bases/SWDE/job/job-jobtarget/1782.htm",Acts as a mentor and coach to testing specialists and test analysts.
"/media/Dados/bases/SWDE/job/job-jobtarget/1282.htm","tracking employee time off, sick leave, and alternative transportation credits;"
"/media/Dados/bases/SWDE/job/job-jobtarget/1536.htm","Initiate new and revised current standard seal parts lists, typical drawings and master sheets."
"/media/Dados/bases/SWDE/job/job-jobtarget/1281.htm",Provide customer service and answer to student inquiries.
"/media/Dados/bases/SWDE/job/job-jobtarget/0755.htm",Strong system architecture knowledge including symmetric multiprocessor systems
"/media/Dados/bases/SWDE/job/job-jobtarget/0057.htm",Presents the solution and effectively answers questions in customer-facing situations
"/media/Dados/bases/SWDE/job/job-jobtarget/1432.htm",Effectively communicates relevant IT-related information to superiors
"/media/Dados/bases/SWDE/job/job-jobtarget/1007.htm",Helps maintain PR database.
"/media/Dados/bases/SWDE/job/job-jobtarget/1059.htm","Ability to work the varying shifts, rotating schedules and weekends; overtime may be required based on business need."
"/media/Dados/bases/SWDE/job/job-jobtarget/1962.htm","Designs, prepares and executes unit tests"
"/media/Dados/bases/SWDE/job/job-jobtarget/1548.htm",Develops innovative solutions to complex business and technology problems.
"/media/Dados/bases/SWDE/job/job-jobtarget/1044.htm","Account size ranges may work in a small-medium enterprise, or corporate segment; varied sales cycle."
"/media/Dados/bases/SWDE/job/job-jobtarget/1549.htm","Consults with team members and other organizations, clients and vendors on complex issues."
"/media/Dados/bases/SWDE/job/job-jobtarget/1330.htm","Create, monitor, and foster conversations with potential and existing customers throughout all social media platforms and online channels."
"/media/Dados/bases/SWDE/job/job-jobtarget/1048.htm",Develop tools to improve efficiency and to automate or streamline processes.
"/media/Dados/bases/SWDE/job/job-jobtarget/1875.htm",Other duties as assigned by senior management.
"/media/Dados/bases/SWDE/job/job-jobtarget/0936.htm","Initiate new and revised current standard seal parts lists, typical drawings and master sheets."
