URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/job/job-nettemps/0711.htm",Casting360
"/media/Dados/bases/SWDE/job/job-nettemps/1147.htm",Recruiter
"/media/Dados/bases/SWDE/job/job-nettemps/0768.htm",Andrew Sobel
"/media/Dados/bases/SWDE/job/job-nettemps/0507.htm",Dalila Soto
"/media/Dados/bases/SWDE/job/job-nettemps/1000.htm",Casting360
"/media/Dados/bases/SWDE/job/job-nettemps/0361.htm",Bonnie Hambor
"/media/Dados/bases/SWDE/job/job-nettemps/0231.htm",Sundari
"/media/Dados/bases/SWDE/job/job-nettemps/0662.htm",Kelly
"/media/Dados/bases/SWDE/job/job-nettemps/0943.htm",Todd Kaye
"/media/Dados/bases/SWDE/job/job-nettemps/0969.htm",Michelle Poage
"/media/Dados/bases/SWDE/job/job-nettemps/0496.htm",Jon Koehmstedt
"/media/Dados/bases/SWDE/job/job-nettemps/0935.htm",Technical Recruiter
"/media/Dados/bases/SWDE/job/job-nettemps/0891.htm",Ken DiMaggio
"/media/Dados/bases/SWDE/job/job-nettemps/0475.htm",Michelle Poage
"/media/Dados/bases/SWDE/job/job-nettemps/0490.htm",Pamela Mastrosimone
"/media/Dados/bases/SWDE/job/job-nettemps/0088.htm",Mclean Recruiter
"/media/Dados/bases/SWDE/job/job-nettemps/0908.htm",EPIC Results
"/media/Dados/bases/SWDE/job/job-nettemps/0819.htm",Norm Davis
"/media/Dados/bases/SWDE/job/job-nettemps/0465.htm",Michelle Poage
"/media/Dados/bases/SWDE/job/job-nettemps/0683.htm",Casting360
"/media/Dados/bases/SWDE/job/job-nettemps/0739.htm",Casting360
"/media/Dados/bases/SWDE/job/job-nettemps/0629.htm",Kelly
"/media/Dados/bases/SWDE/job/job-nettemps/1123.htm",Dave
"/media/Dados/bases/SWDE/job/job-nettemps/0213.htm",Ellen Lerner
"/media/Dados/bases/SWDE/job/job-nettemps/1201.htm",Click here to E-mail resume
"/media/Dados/bases/SWDE/job/job-nettemps/0429.htm",Mark Harrison
"/media/Dados/bases/SWDE/job/job-nettemps/0965.htm",Sue Booth
"/media/Dados/bases/SWDE/job/job-nettemps/0376.htm",Henry Salvacion
"/media/Dados/bases/SWDE/job/job-nettemps/0504.htm",Jon Koehmstedt
"/media/Dados/bases/SWDE/job/job-nettemps/0525.htm",Boris Rozman
"/media/Dados/bases/SWDE/job/job-nettemps/0579.htm",Recruiter
"/media/Dados/bases/SWDE/job/job-nettemps/0309.htm",Jarrod Desjardin
"/media/Dados/bases/SWDE/job/job-nettemps/0247.htm",Meena
"/media/Dados/bases/SWDE/job/job-nettemps/0486.htm",Michelle Poage
"/media/Dados/bases/SWDE/job/job-nettemps/0230.htm",Shalini
"/media/Dados/bases/SWDE/job/job-nettemps/1190.htm",Shadowshopper
"/media/Dados/bases/SWDE/job/job-nettemps/0239.htm",Pavan
"/media/Dados/bases/SWDE/job/job-nettemps/0142.htm",Kevin McGuire
"/media/Dados/bases/SWDE/job/job-nettemps/0388.htm",Mitch Foster
"/media/Dados/bases/SWDE/job/job-nettemps/0174.htm",Frank Tantillo
"/media/Dados/bases/SWDE/job/job-nettemps/0759.htm",Casting360
"/media/Dados/bases/SWDE/job/job-nettemps/0123.htm",Recruiter
"/media/Dados/bases/SWDE/job/job-nettemps/0299.htm",Jarrod Desjardin
"/media/Dados/bases/SWDE/job/job-nettemps/0609.htm",george wellington
"/media/Dados/bases/SWDE/job/job-nettemps/0083.htm",Diane Rafferty
"/media/Dados/bases/SWDE/job/job-nettemps/0738.htm",Casting360
"/media/Dados/bases/SWDE/job/job-nettemps/0137.htm",Recruiter
"/media/Dados/bases/SWDE/job/job-nettemps/1229.htm",Tanuja Kitty
"/media/Dados/bases/SWDE/job/job-nettemps/0848.htm",hiring manager
"/media/Dados/bases/SWDE/job/job-nettemps/0431.htm",Mark Harrison
"/media/Dados/bases/SWDE/job/job-nettemps/0150.htm",Roger Beard
"/media/Dados/bases/SWDE/job/job-nettemps/1219.htm",Shadowshopper
"/media/Dados/bases/SWDE/job/job-nettemps/0680.htm",Casting360
"/media/Dados/bases/SWDE/job/job-nettemps/1215.htm",Shadowshopper
"/media/Dados/bases/SWDE/job/job-nettemps/0763.htm",Casting360
"/media/Dados/bases/SWDE/job/job-nettemps/0530.htm",Hariom Khandelwal
