URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/job/job-techcentric/0626.htm",* Previous experience working in an Agile environment.
"/media/Dados/bases/SWDE/job/job-techcentric/1607.htm",- Programming in Java a big plus.
"/media/Dados/bases/SWDE/job/job-techcentric/0408.htm",Hands-on experience with Java development tool (eg Oracle Jdeveloper and Eclipse)
"/media/Dados/bases/SWDE/job/job-techcentric/1438.htm",Actively and appropriately contributes to their work team.
"/media/Dados/bases/SWDE/job/job-techcentric/0002.htm","Proven experience (2-3 years) and knowledge of design, installation,"
"/media/Dados/bases/SWDE/job/job-techcentric/0982.htm",* Supports assessment of employee performance as required.
"/media/Dados/bases/SWDE/job/job-techcentric/0989.htm",Strong analytical/problem solving experience to deal with complex business problems.
"/media/Dados/bases/SWDE/job/job-techcentric/1036.htm","- Solid understanding of methods for Business Process Modeling and Design, and the ability to analyze, design and document complex business processes"
"/media/Dados/bases/SWDE/job/job-techcentric/0652.htm",EDUCATION:
"/media/Dados/bases/SWDE/job/job-techcentric/1750.htm",- Assist in monitoring project schedules and cost
"/media/Dados/bases/SWDE/job/job-techcentric/1855.htm",+ Building and Deployment Packaging via ANT
"/media/Dados/bases/SWDE/job/job-techcentric/1315.htm",*BS/BA degree required. Degrees in Business Administration preferred. MBA a plus.
"/media/Dados/bases/SWDE/job/job-techcentric/0867.htm",SAP Industry Solution - Public SectorRequired2 Years
