URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/movie/movie-allmovie/1883.htm",Forceful
"/media/Dados/bases/SWDE/movie/movie-allmovie/0036.htm",Reflective
"/media/Dados/bases/SWDE/movie/movie-allmovie/1145.htm",Compassionate
"/media/Dados/bases/SWDE/movie/movie-allmovie/1946.htm",Quirky
"/media/Dados/bases/SWDE/movie/movie-allmovie/1744.htm",Upbeat
"/media/Dados/bases/SWDE/movie/movie-allmovie/0042.htm",Madcap
"/media/Dados/bases/SWDE/movie/movie-allmovie/0399.htm",Tense
"/media/Dados/bases/SWDE/movie/movie-allmovie/1651.htm",Stylized
"/media/Dados/bases/SWDE/movie/movie-allmovie/0051.htm",Warm
"/media/Dados/bases/SWDE/movie/movie-allmovie/1589.htm",Bittersweet
"/media/Dados/bases/SWDE/movie/movie-allmovie/1702.htm",Stylized
"/media/Dados/bases/SWDE/movie/movie-allmovie/0887.htm",Affectionate
"/media/Dados/bases/SWDE/movie/movie-allmovie/0531.htm",Bittersweet
"/media/Dados/bases/SWDE/movie/movie-allmovie/1842.htm",Light
"/media/Dados/bases/SWDE/movie/movie-allmovie/0224.htm",Literate
"/media/Dados/bases/SWDE/movie/movie-allmovie/0352.htm",Slick
"/media/Dados/bases/SWDE/movie/movie-allmovie/1246.htm",Madcap
"/media/Dados/bases/SWDE/movie/movie-allmovie/0039.htm",Atmospheric
"/media/Dados/bases/SWDE/movie/movie-allmovie/1683.htm",Nostalgic
"/media/Dados/bases/SWDE/movie/movie-allmovie/0142.htm",Angry
"/media/Dados/bases/SWDE/movie/movie-allmovie/1939.htm",Tense
"/media/Dados/bases/SWDE/movie/movie-allmovie/1319.htm",Whimsical
"/media/Dados/bases/SWDE/movie/movie-allmovie/1998.htm",Heartwarming
"/media/Dados/bases/SWDE/movie/movie-allmovie/0777.htm",Affectionate
"/media/Dados/bases/SWDE/movie/movie-allmovie/1377.htm",Fanciful
"/media/Dados/bases/SWDE/movie/movie-allmovie/1129.htm",Understated
"/media/Dados/bases/SWDE/movie/movie-allmovie/0616.htm",Quirky
"/media/Dados/bases/SWDE/movie/movie-allmovie/0855.htm",Sweeping
"/media/Dados/bases/SWDE/movie/movie-allmovie/0605.htm",Tense
"/media/Dados/bases/SWDE/movie/movie-allmovie/0129.htm",Dreamlike
"/media/Dados/bases/SWDE/movie/movie-allmovie/0565.htm",Slick
"/media/Dados/bases/SWDE/movie/movie-allmovie/0346.htm",Fanciful
"/media/Dados/bases/SWDE/movie/movie-allmovie/1218.htm",Campy
"/media/Dados/bases/SWDE/movie/movie-allmovie/0162.htm",Earnest
"/media/Dados/bases/SWDE/movie/movie-allmovie/0215.htm",Rousing
"/media/Dados/bases/SWDE/movie/movie-allmovie/0494.htm",Stylized
"/media/Dados/bases/SWDE/movie/movie-allmovie/1433.htm",Biting
"/media/Dados/bases/SWDE/movie/movie-allmovie/0847.htm",Tense
"/media/Dados/bases/SWDE/movie/movie-allmovie/1601.htm",Stylized
"/media/Dados/bases/SWDE/movie/movie-allmovie/1615.htm",Fanciful
"/media/Dados/bases/SWDE/movie/movie-allmovie/0635.htm",Rousing
"/media/Dados/bases/SWDE/movie/movie-allmovie/1662.htm",Atmospheric
"/media/Dados/bases/SWDE/movie/movie-allmovie/1605.htm",Literate
"/media/Dados/bases/SWDE/movie/movie-allmovie/1307.htm",Humorous
"/media/Dados/bases/SWDE/movie/movie-allmovie/1908.htm",Stylized
"/media/Dados/bases/SWDE/movie/movie-allmovie/0171.htm",Forceful
"/media/Dados/bases/SWDE/movie/movie-allmovie/1896.htm",Cynical
"/media/Dados/bases/SWDE/movie/movie-allmovie/0331.htm",Fanciful
"/media/Dados/bases/SWDE/movie/movie-allmovie/1371.htm",Light
"/media/Dados/bases/SWDE/movie/movie-allmovie/1659.htm",Rousing
"/media/Dados/bases/SWDE/movie/movie-allmovie/0783.htm",Gritty
"/media/Dados/bases/SWDE/movie/movie-allmovie/1290.htm",Biting
"/media/Dados/bases/SWDE/movie/movie-allmovie/0370.htm",Tense
"/media/Dados/bases/SWDE/movie/movie-allmovie/0155.htm",Atmospheric
"/media/Dados/bases/SWDE/movie/movie-allmovie/0390.htm",Cynical
"/media/Dados/bases/SWDE/movie/movie-allmovie/0621.htm",Understated
"/media/Dados/bases/SWDE/movie/movie-allmovie/1752.htm",Cerebral
"/media/Dados/bases/SWDE/movie/movie-allmovie/1538.htm",Atmospheric
"/media/Dados/bases/SWDE/movie/movie-allmovie/1765.htm",Witty
"/media/Dados/bases/SWDE/movie/movie-allmovie/1851.htm",Ominous
"/media/Dados/bases/SWDE/movie/movie-allmovie/1254.htm",Wry
"/media/Dados/bases/SWDE/movie/movie-allmovie/1795.htm",Disturbing
"/media/Dados/bases/SWDE/movie/movie-allmovie/1564.htm",Creepy
"/media/Dados/bases/SWDE/movie/movie-allmovie/0402.htm",Visceral
"/media/Dados/bases/SWDE/movie/movie-allmovie/1375.htm",Easygoing
"/media/Dados/bases/SWDE/movie/movie-allmovie/0123.htm",Affectionate
"/media/Dados/bases/SWDE/movie/movie-allmovie/1642.htm",Rousing
"/media/Dados/bases/SWDE/movie/movie-allmovie/0785.htm",Tense
"/media/Dados/bases/SWDE/movie/movie-allmovie/1733.htm",Tense
"/media/Dados/bases/SWDE/movie/movie-allmovie/1812.htm",Goofy
"/media/Dados/bases/SWDE/movie/movie-allmovie/1533.htm",Chilly
"/media/Dados/bases/SWDE/movie/movie-allmovie/1241.htm",Witty
"/media/Dados/bases/SWDE/movie/movie-allmovie/1119.htm",Warm
"/media/Dados/bases/SWDE/movie/movie-allmovie/0521.htm",Nostalgic
"/media/Dados/bases/SWDE/movie/movie-allmovie/1860.htm",Disturbing
"/media/Dados/bases/SWDE/movie/movie-allmovie/0658.htm",Compassionate
"/media/Dados/bases/SWDE/movie/movie-allmovie/1248.htm",Goofy
"/media/Dados/bases/SWDE/movie/movie-allmovie/1575.htm",Talky
"/media/Dados/bases/SWDE/movie/movie-allmovie/0722.htm",Eerie
"/media/Dados/bases/SWDE/movie/movie-allmovie/0805.htm",Atmospheric
"/media/Dados/bases/SWDE/movie/movie-allmovie/0456.htm",Grotesque
"/media/Dados/bases/SWDE/movie/movie-allmovie/0255.htm",Biting
"/media/Dados/bases/SWDE/movie/movie-allmovie/0682.htm",Creepy
"/media/Dados/bases/SWDE/movie/movie-allmovie/1239.htm",Goofy
"/media/Dados/bases/SWDE/movie/movie-allmovie/0434.htm",Claustrophobic
"/media/Dados/bases/SWDE/movie/movie-allmovie/0443.htm",Eerie
"/media/Dados/bases/SWDE/movie/movie-allmovie/1291.htm",Atmospheric
"/media/Dados/bases/SWDE/movie/movie-allmovie/1596.htm",Heartwarming
"/media/Dados/bases/SWDE/movie/movie-allmovie/0716.htm",Deliberate
"/media/Dados/bases/SWDE/movie/movie-allmovie/0120.htm",Fanciful
"/media/Dados/bases/SWDE/movie/movie-allmovie/0265.htm",Atmospheric
"/media/Dados/bases/SWDE/movie/movie-allmovie/0257.htm",Atmospheric
"/media/Dados/bases/SWDE/movie/movie-allmovie/1378.htm",Lyrical
"/media/Dados/bases/SWDE/movie/movie-allmovie/1818.htm",Angry
"/media/Dados/bases/SWDE/movie/movie-allmovie/0047.htm",Racy
"/media/Dados/bases/SWDE/movie/movie-allmovie/0477.htm",Atmospheric
"/media/Dados/bases/SWDE/movie/movie-allmovie/1836.htm",Atmospheric
"/media/Dados/bases/SWDE/movie/movie-allmovie/0096.htm",Earthy
"/media/Dados/bases/SWDE/movie/movie-allmovie/0686.htm",Paranoid
"/media/Dados/bases/SWDE/movie/movie-allmovie/0648.htm",Tense
"/media/Dados/bases/SWDE/movie/movie-allmovie/0398.htm",Paranoid
"/media/Dados/bases/SWDE/movie/movie-allmovie/0209.htm",Humorous
"/media/Dados/bases/SWDE/movie/movie-allmovie/1388.htm",Tense
"/media/Dados/bases/SWDE/movie/movie-allmovie/1814.htm",Campy
"/media/Dados/bases/SWDE/movie/movie-allmovie/1215.htm",Humorous
"/media/Dados/bases/SWDE/movie/movie-allmovie/1166.htm",Affectionate
"/media/Dados/bases/SWDE/movie/movie-allmovie/1849.htm",Disturbing
"/media/Dados/bases/SWDE/movie/movie-allmovie/0205.htm",Quirky
"/media/Dados/bases/SWDE/movie/movie-allmovie/0877.htm",Elegiac
"/media/Dados/bases/SWDE/movie/movie-allmovie/1015.htm",Humorous
"/media/Dados/bases/SWDE/movie/movie-allmovie/1311.htm",Silly
"/media/Dados/bases/SWDE/movie/movie-allmovie/0622.htm",Humorous
"/media/Dados/bases/SWDE/movie/movie-allmovie/1335.htm",Humorous
"/media/Dados/bases/SWDE/movie/movie-allmovie/1724.htm",Bleak
"/media/Dados/bases/SWDE/movie/movie-allmovie/0848.htm",Bittersweet
"/media/Dados/bases/SWDE/movie/movie-allmovie/1610.htm",Understated
"/media/Dados/bases/SWDE/movie/movie-allmovie/0826.htm",Atmospheric
"/media/Dados/bases/SWDE/movie/movie-allmovie/0966.htm",Literate
"/media/Dados/bases/SWDE/movie/movie-allmovie/1185.htm",Confrontational
"/media/Dados/bases/SWDE/movie/movie-allmovie/1407.htm",Downbeat
"/media/Dados/bases/SWDE/movie/movie-allmovie/0719.htm",Bleak
"/media/Dados/bases/SWDE/movie/movie-allmovie/0642.htm",Irreverent
"/media/Dados/bases/SWDE/movie/movie-allmovie/1037.htm",Bright
"/media/Dados/bases/SWDE/movie/movie-allmovie/1973.htm",Elegant
"/media/Dados/bases/SWDE/movie/movie-allmovie/1114.htm",Melancholy
"/media/Dados/bases/SWDE/movie/movie-allmovie/0625.htm",Atmospheric
"/media/Dados/bases/SWDE/movie/movie-allmovie/0782.htm",Visceral
"/media/Dados/bases/SWDE/movie/movie-allmovie/0158.htm",Stylized
"/media/Dados/bases/SWDE/movie/movie-allmovie/1815.htm",Talky
"/media/Dados/bases/SWDE/movie/movie-allmovie/1340.htm",Stylized
