URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/movie/movie-amctv/1070.htm",(#1)
"/media/Dados/bases/SWDE/movie/movie-amctv/0044.htm",(#5)
"/media/Dados/bases/SWDE/movie/movie-amctv/0462.htm",(#3)
"/media/Dados/bases/SWDE/movie/movie-amctv/0010.htm",(#1)
"/media/Dados/bases/SWDE/movie/movie-amctv/0223.htm",(#9)
"/media/Dados/bases/SWDE/movie/movie-amctv/1653.htm",(#6)
"/media/Dados/bases/SWDE/movie/movie-amctv/0094.htm",(#2)
"/media/Dados/bases/SWDE/movie/movie-amctv/0132.htm",(#6)
"/media/Dados/bases/SWDE/movie/movie-amctv/0039.htm",(#2)
"/media/Dados/bases/SWDE/movie/movie-amctv/0012.htm",(#7)
"/media/Dados/bases/SWDE/movie/movie-amctv/0288.htm",(#5)
"/media/Dados/bases/SWDE/movie/movie-amctv/0047.htm",(#4)
"/media/Dados/bases/SWDE/movie/movie-amctv/0151.htm",(#1)
"/media/Dados/bases/SWDE/movie/movie-amctv/0070.htm",(#9)
"/media/Dados/bases/SWDE/movie/movie-amctv/0038.htm",(#1)
"/media/Dados/bases/SWDE/movie/movie-amctv/1775.htm",(#4)
"/media/Dados/bases/SWDE/movie/movie-amctv/0065.htm",(#2)
"/media/Dados/bases/SWDE/movie/movie-amctv/0904.htm",(#1)
"/media/Dados/bases/SWDE/movie/movie-amctv/0514.htm",(#4)
"/media/Dados/bases/SWDE/movie/movie-amctv/0586.htm",(#4)
"/media/Dados/bases/SWDE/movie/movie-amctv/0222.htm",(#5)
"/media/Dados/bases/SWDE/movie/movie-amctv/0068.htm",(#4)
"/media/Dados/bases/SWDE/movie/movie-amctv/0052.htm",(#2)
"/media/Dados/bases/SWDE/movie/movie-amctv/1005.htm",(#8)
"/media/Dados/bases/SWDE/movie/movie-amctv/1337.htm",(#8)
"/media/Dados/bases/SWDE/movie/movie-amctv/0119.htm",(#6)
"/media/Dados/bases/SWDE/movie/movie-amctv/1493.htm",(#6)
"/media/Dados/bases/SWDE/movie/movie-amctv/0049.htm",(#1)
"/media/Dados/bases/SWDE/movie/movie-amctv/0011.htm",(#9)
"/media/Dados/bases/SWDE/movie/movie-amctv/0041.htm",(#1)
"/media/Dados/bases/SWDE/movie/movie-amctv/0160.htm",(#1)
"/media/Dados/bases/SWDE/movie/movie-amctv/0721.htm",(#10)
"/media/Dados/bases/SWDE/movie/movie-amctv/0023.htm",(#2)
"/media/Dados/bases/SWDE/movie/movie-amctv/0139.htm",(#3)
"/media/Dados/bases/SWDE/movie/movie-amctv/0579.htm",(#6)
"/media/Dados/bases/SWDE/movie/movie-amctv/0677.htm",(#4)
"/media/Dados/bases/SWDE/movie/movie-amctv/0062.htm",(#3)
"/media/Dados/bases/SWDE/movie/movie-amctv/0067.htm",(#4)
"/media/Dados/bases/SWDE/movie/movie-amctv/0561.htm",(#3)
"/media/Dados/bases/SWDE/movie/movie-amctv/0027.htm",(#4)
"/media/Dados/bases/SWDE/movie/movie-amctv/0274.htm",(#10)
"/media/Dados/bases/SWDE/movie/movie-amctv/0048.htm",(#6)
"/media/Dados/bases/SWDE/movie/movie-amctv/0828.htm",(#2)
"/media/Dados/bases/SWDE/movie/movie-amctv/0028.htm",(#13)
"/media/Dados/bases/SWDE/movie/movie-amctv/1154.htm",(#15)
"/media/Dados/bases/SWDE/movie/movie-amctv/0008.htm",(#6)
"/media/Dados/bases/SWDE/movie/movie-amctv/0128.htm",(#1)
"/media/Dados/bases/SWDE/movie/movie-amctv/0456.htm",(#5)
"/media/Dados/bases/SWDE/movie/movie-amctv/0172.htm",(#8)
"/media/Dados/bases/SWDE/movie/movie-amctv/0002.htm",(#6)
"/media/Dados/bases/SWDE/movie/movie-amctv/0007.htm",(#12)
"/media/Dados/bases/SWDE/movie/movie-amctv/1922.htm",(#3)
"/media/Dados/bases/SWDE/movie/movie-amctv/0149.htm",(#1)
"/media/Dados/bases/SWDE/movie/movie-amctv/0246.htm",(#3)
"/media/Dados/bases/SWDE/movie/movie-amctv/0075.htm",(#3)
"/media/Dados/bases/SWDE/movie/movie-amctv/0993.htm",(#2)
"/media/Dados/bases/SWDE/movie/movie-amctv/0243.htm",(#3)
"/media/Dados/bases/SWDE/movie/movie-amctv/0682.htm",(#5)
"/media/Dados/bases/SWDE/movie/movie-amctv/0092.htm",(#7)
"/media/Dados/bases/SWDE/movie/movie-amctv/0516.htm",(#10)
"/media/Dados/bases/SWDE/movie/movie-amctv/0204.htm",(#7)
"/media/Dados/bases/SWDE/movie/movie-amctv/0021.htm",(#6)
"/media/Dados/bases/SWDE/movie/movie-amctv/0036.htm",(#4)
"/media/Dados/bases/SWDE/movie/movie-amctv/1445.htm",(#3)
"/media/Dados/bases/SWDE/movie/movie-amctv/0171.htm",(#7)
"/media/Dados/bases/SWDE/movie/movie-amctv/0042.htm",(#20)
"/media/Dados/bases/SWDE/movie/movie-amctv/1356.htm",(#1)
"/media/Dados/bases/SWDE/movie/movie-amctv/0004.htm",(#10)
"/media/Dados/bases/SWDE/movie/movie-amctv/0000.htm",(#8)
"/media/Dados/bases/SWDE/movie/movie-amctv/0224.htm",(#7)
"/media/Dados/bases/SWDE/movie/movie-amctv/0056.htm",(#2)
"/media/Dados/bases/SWDE/movie/movie-amctv/0037.htm",(#4)
"/media/Dados/bases/SWDE/movie/movie-amctv/0613.htm",(#9)
"/media/Dados/bases/SWDE/movie/movie-amctv/0496.htm",(#8)
"/media/Dados/bases/SWDE/movie/movie-amctv/0211.htm",(#3)
"/media/Dados/bases/SWDE/movie/movie-amctv/0034.htm",(#2)
"/media/Dados/bases/SWDE/movie/movie-amctv/0015.htm",(#1)
"/media/Dados/bases/SWDE/movie/movie-amctv/0026.htm",(#3)
"/media/Dados/bases/SWDE/movie/movie-amctv/0014.htm",(#1)
"/media/Dados/bases/SWDE/movie/movie-amctv/0050.htm",(#7)
"/media/Dados/bases/SWDE/movie/movie-amctv/0020.htm",(#2)
"/media/Dados/bases/SWDE/movie/movie-amctv/1510.htm",(#9)
"/media/Dados/bases/SWDE/movie/movie-amctv/0009.htm",(#3)
"/media/Dados/bases/SWDE/movie/movie-amctv/0233.htm",(#6)
"/media/Dados/bases/SWDE/movie/movie-amctv/0082.htm",(#2)
"/media/Dados/bases/SWDE/movie/movie-amctv/0063.htm",(#2)
"/media/Dados/bases/SWDE/movie/movie-amctv/0035.htm",(#2)
"/media/Dados/bases/SWDE/movie/movie-amctv/0433.htm",(#5)
"/media/Dados/bases/SWDE/movie/movie-amctv/0331.htm",(#2)
