URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/movie/movie-hollywood/0228.htm",Blackie Dammett
"/media/Dados/bases/SWDE/movie/movie-hollywood/0014.htm",Amidou
"/media/Dados/bases/SWDE/movie/movie-hollywood/1333.htm",Morris Erby
"/media/Dados/bases/SWDE/movie/movie-hollywood/0247.htm",Tina Theberge
"/media/Dados/bases/SWDE/movie/movie-hollywood/0907.htm",Tsai Chin
"/media/Dados/bases/SWDE/movie/movie-hollywood/1924.htm",Declan Joyce
"/media/Dados/bases/SWDE/movie/movie-hollywood/0312.htm",Jewel Shepard
"/media/Dados/bases/SWDE/movie/movie-hollywood/1410.htm",John Rhys-Davies
"/media/Dados/bases/SWDE/movie/movie-hollywood/0058.htm",Rafael Lopez
"/media/Dados/bases/SWDE/movie/movie-hollywood/0046.htm",Cesare Danova
"/media/Dados/bases/SWDE/movie/movie-hollywood/0486.htm",Joe Wreddon
"/media/Dados/bases/SWDE/movie/movie-hollywood/0262.htm",Keith Addis
"/media/Dados/bases/SWDE/movie/movie-hollywood/0266.htm",Joe Gilbert
"/media/Dados/bases/SWDE/movie/movie-hollywood/1968.htm",Kevin O'Morrison
"/media/Dados/bases/SWDE/movie/movie-hollywood/1230.htm",Cristián de la Fuente
"/media/Dados/bases/SWDE/movie/movie-hollywood/1970.htm",John Steadman
"/media/Dados/bases/SWDE/movie/movie-hollywood/1284.htm",Mario Fabrizi
"/media/Dados/bases/SWDE/movie/movie-hollywood/0174.htm",Mel Pape
"/media/Dados/bases/SWDE/movie/movie-hollywood/0746.htm",Philippe Léotard
