URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0385.htm",4-10
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0060.htm",7-13
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0159.htm",1-5
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0296.htm",3-8
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0388.htm",2-4
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0252.htm",9-20
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0093.htm",4-9
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0428.htm",5-15
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0174.htm",3-11
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0103.htm",1-2
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0003.htm",8-16
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0196.htm",2-5
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0018.htm",2-6
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0424.htm",0-1
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0024.htm",7-14
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0089.htm",4-12
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0165.htm",2-5
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0261.htm",4-7
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0289.htm",1-1
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0146.htm",2-4
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0429.htm",3-11
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0041.htm",15-23
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0055.htm",2-5
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0214.htm",7-15
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0286.htm",2-4
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0308.htm",2-8
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0366.htm",5-13
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0153.htm",3-13
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0198.htm",4-8
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0283.htm",3-8
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0311.htm",6-16
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0163.htm",8-17
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0277.htm",0-6
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0290.htm",6-16
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0297.htm",14-16
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0354.htm",0-1
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0219.htm",7-13
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0236.htm",3-9
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0389.htm",1-4
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0161.htm",6-12
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0066.htm",4-6
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0280.htm",2-7
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0133.htm",11-20
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0335.htm",11-12
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0107.htm",1-2
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0328.htm",2-3
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0102.htm",1-3
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0387.htm",4-11
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0023.htm",2-5
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0197.htm",1-3
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0158.htm",6-14
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0049.htm",5-14
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0255.htm",1-4
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0361.htm",10-18
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0396.htm",5-14
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0231.htm",5-12
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-espn/0411.htm",4-6
