URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0072.htm","Thaddeus Young, F"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0389.htm","Brandon Rush, G-F"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0187.htm","Tyrus Thomas, PF"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0344.htm","C.J. Watson, G"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0285.htm","Joel Przybilla, C"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0390.htm","Brandon Rush, G-F"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0098.htm","Al Thornton, F"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0052.htm","Jason Williams, PG"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0247.htm","Jason Smith, F-C"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0024.htm","Von Wafer, G"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0254.htm","Russell Westbrook, PG"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0147.htm","Ishmael Smith, PG"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0054.htm","Jason Williams, PG"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0189.htm","Tyrus Thomas, PF"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0062.htm","Thaddeus Young, F"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0349.htm","C.J. Watson, G"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0319.htm","Tiago Splitter, F-C"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0312.htm","Tiago Splitter, F-C"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0259.htm","Russell Westbrook, PG"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0216.htm","Sam Young, SF"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0073.htm","Julian Wright, F"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0075.htm","Julian Wright, F"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0089.htm","Al Thornton, F"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0345.htm","C.J. Watson, G"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0318.htm","Tiago Splitter, F-C"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0047.htm","Jason Williams, PG"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0133.htm","Brandan Wright, PF"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0142.htm","Brandan Wright, PF"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0373.htm","Terrico White, G"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0012.htm","Damien Wilkins, G-F"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0281.htm","Joel Przybilla, C"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0376.htm","Terrico White, G"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0359.htm","Mo Williams, PG"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0307.htm","Antoine Wright, G-F"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0430.htm","John Salmons, G-F"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0244.htm","Jason Smith, F-C"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0069.htm","Thaddeus Young, F"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0271.htm","Hedo Turkoglu, F"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0088.htm","Al Thornton, F"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0068.htm","Thaddeus Young, F"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0306.htm","Antoine Wright, G-F"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0059.htm","Thaddeus Young, F"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0103.htm","DeShawn Stevenson, SG"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0044.htm","Bill Walker, G-F"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0099.htm","Al Thornton, F"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0304.htm","Antoine Wright, G-F"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0351.htm","C.J. Watson, G"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0018.htm","Von Wafer, G"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0143.htm","Brandan Wright, PF"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0109.htm","DeShawn Stevenson, SG"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0139.htm","Brandan Wright, PF"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0209.htm","Sam Young, SF"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0202.htm","Luke Walton, SF"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0284.htm","Joel Przybilla, C"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0235.htm","Jason Smith, F-C"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0288.htm","Joel Przybilla, C"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0159.htm","Ishmael Smith, PG"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0404.htm","Dexter Pittman, C"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0186.htm","Tyrus Thomas, PF"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0408.htm","Dexter Pittman, C"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0443.htm","Ben Uzoh, G"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0007.htm","Damien Wilkins, G-F"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0165.htm","Willie Warren, SG"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0046.htm","Jason Williams, PG"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0387.htm","Brandon Rush, G-F"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0032.htm","Bill Walker, G-F"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0150.htm","Ishmael Smith, PG"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0177.htm","Tyrus Thomas, PF"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0121.htm","Shelden Williams, F-C"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0250.htm","Jason Smith, F-C"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0140.htm","Brandan Wright, PF"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0081.htm","Julian Wright, F"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0204.htm","Luke Walton, SF"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0115.htm","DeShawn Stevenson, SG"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0120.htm","Shelden Williams, F-C"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0440.htm","Ben Uzoh, G"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0097.htm","Al Thornton, F"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0364.htm","Mo Williams, PG"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0039.htm","Bill Walker, G-F"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0229.htm","Sebastian Telfair, PG"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0008.htm","Damien Wilkins, G-F"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0233.htm","Sebastian Telfair, PG"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0294.htm","Joel Przybilla, C"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0145.htm","Brandan Wright, PF"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0280.htm","Hedo Turkoglu, F"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0023.htm","Von Wafer, G"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0313.htm","Tiago Splitter, F-C"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0129.htm","Shelden Williams, F-C"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0067.htm","Thaddeus Young, F"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0061.htm","Thaddeus Young, F"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0126.htm","Shelden Williams, F-C"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0248.htm","Jason Smith, F-C"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0198.htm","Luke Walton, SF"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0201.htm","Luke Walton, SF"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0261.htm","Russell Westbrook, PG"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0124.htm","Shelden Williams, F-C"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0394.htm","Brandon Rush, G-F"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0042.htm","Bill Walker, G-F"
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-fanhouse/0211.htm","Sam Young, SF"
