URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-foxsports/0011.htm",2.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-foxsports/0170.htm",4.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-foxsports/0203.htm",11.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-foxsports/0262.htm",6.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-foxsports/0165.htm",0.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-foxsports/0196.htm",0.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-foxsports/0007.htm",4.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-foxsports/0163.htm",27.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-foxsports/0166.htm",32.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-foxsports/0269.htm",22.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-foxsports/0326.htm",24.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-foxsports/0001.htm",2.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-foxsports/0090.htm",7.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-foxsports/0201.htm",10.5
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-foxsports/0005.htm",14.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-foxsports/0173.htm",2.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-foxsports/0267.htm",5.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-foxsports/0008.htm",6.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-foxsports/0315.htm",19.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-foxsports/0270.htm",6.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-foxsports/0268.htm",26.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-foxsports/0316.htm",13.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-foxsports/0006.htm",16.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-foxsports/0263.htm",6.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-foxsports/0099.htm",22.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-foxsports/0192.htm",16.5
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-foxsports/0093.htm",8.5
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-foxsports/0193.htm",1.5
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-foxsports/0161.htm",7.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-foxsports/0086.htm",19.0
