URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-msnca/0049.htm",66
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-msnca/0295.htm",86
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-msnca/0106.htm",64
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-msnca/0233.htm",59
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-msnca/0073.htm",74
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-msnca/0093.htm",22
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-msnca/0066.htm",34
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-msnca/0046.htm",32
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-msnca/0316.htm",20
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-msnca/0278.htm",19
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-msnca/0303.htm",8
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-msnca/0225.htm",0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-msnca/0181.htm",35
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-msnca/0257.htm",14
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-msnca/0403.htm",10
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-msnca/0415.htm",43
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-msnca/0149.htm",12
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-msnca/0306.htm",18
