URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0442.htm",33.8
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0074.htm",32.1
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0385.htm",26.9
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0503.htm",34.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0067.htm",34.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0282.htm",31.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0084.htm",30.1
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0333.htm",33.2
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0283.htm",26.2
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0329.htm",27.4
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0139.htm",35.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0233.htm",29.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0131.htm",35.9
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0280.htm",38.4
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0456.htm",36.7
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0062.htm",31.8
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0158.htm",32.6
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0506.htm",33.8
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0027.htm",23.4
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0484.htm",23.6
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0044.htm",31.9
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0048.htm",25.6
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0316.htm",35.5
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0462.htm",14.6
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0308.htm",33.3
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0355.htm",40.7
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0095.htm",32.6
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0387.htm",35.9
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0403.htm",35.6
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0097.htm",36.2
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0081.htm",29.3
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0143.htm",30.1
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0426.htm",37.3
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0144.htm",26.8
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0264.htm",37.9
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0228.htm",32.3
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0240.htm",31.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0267.htm",33.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0200.htm",37.2
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0175.htm",28.7
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0028.htm",32.6
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0098.htm",31.2
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0362.htm",39.7
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0485.htm",15.5
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0085.htm",32.3
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0195.htm",25.5
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0388.htm",30.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0146.htm",33.4
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0181.htm",23.2
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0154.htm",28.1
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0055.htm",30.2
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0374.htm",36.4
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0034.htm",31.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0390.htm",29.4
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0257.htm",26.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0127.htm",35.6
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0377.htm",32.6
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0184.htm",38.4
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0216.htm",19.6
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0140.htm",22.9
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0471.htm",37.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0009.htm",26.5
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0167.htm",30.3
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0046.htm",29.9
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0318.htm",29.3
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0450.htm",39.3
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0359.htm",32.6
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-si/0253.htm",35.6
