URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-yahoo/0263.htm",15.2
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-yahoo/0409.htm",12.5
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-yahoo/0090.htm",4.2
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-yahoo/0300.htm",20.9
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-yahoo/0376.htm",3.5
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-yahoo/0381.htm",6.9
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-yahoo/0402.htm",13.5
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-yahoo/0165.htm",15.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-yahoo/0374.htm",5.5
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-yahoo/0431.htm",9.5
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-yahoo/0386.htm",5.9
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-yahoo/0278.htm",7.4
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-yahoo/0218.htm",5.6
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-yahoo/0044.htm",10.4
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-yahoo/0292.htm",5.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-yahoo/0378.htm",9.5
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-yahoo/0182.htm",2.9
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-yahoo/0239.htm",13.2
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-yahoo/0342.htm",4.1
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-yahoo/0057.htm",3.2
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-yahoo/0001.htm",5.6
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-yahoo/0119.htm",5.3
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-yahoo/0168.htm",11.7
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-yahoo/0204.htm",6.7
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-yahoo/0122.htm",14.0
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-yahoo/0400.htm",9.4
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-yahoo/0103.htm",4.9
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-yahoo/0091.htm",4.5
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-yahoo/0228.htm",3.5
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-yahoo/0310.htm",8.5
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-yahoo/0105.htm",15.3
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-yahoo/0271.htm",25.0
