DATASET,DOMAIN,SITE,ATTRIBUTE,RULE,LABEL,RELEVANTS,RETRIEVED,RETRIEVED RELEVANTS,RECALL,PRECISION,DATE
SWDE,nbaplayer,nbaplayer-espn,height,rule_887.csv,Height,434,434,434,1.0,1.0,2016-02-24 08:25
SWDE,nbaplayer,nbaplayer-espn,name,rule_305.csv,Data provided by Elias Sports Bureau,434,434,434,1.0,1.0,2016-02-24 08:25
SWDE,nbaplayer,nbaplayer-espn,team,rule_2108.csv,Depth,434,434,434,1.0,1.0,2016-02-24 08:25
SWDE,nbaplayer,nbaplayer-espn,weight,rule_1679.csv,Weight,434,434,434,1.0,1.0,2016-02-24 08:25
SWDE,nbaplayer,nbaplayer-fanhouse,height,rule_100.csv,Height:,446,446,446,1.0,1.0,2016-02-24 08:25
SWDE,nbaplayer,nbaplayer-fanhouse,name,rule_115.csv,Name:,446,446,446,1.0,1.0,2016-02-24 08:25
SWDE,nbaplayer,nbaplayer-fanhouse,team,rule_136.csv,Team:,446,446,446,1.0,1.0,2016-02-24 08:25
SWDE,nbaplayer,nbaplayer-fanhouse,weight,rule_45.csv,Weight:,446,446,446,1.0,1.0,2016-02-24 08:25
SWDE,nbaplayer,nbaplayer-foxsports,height,rule_403.csv,Wt:,425,425,425,1.0,1.0,2016-02-24 08:25
SWDE,nbaplayer,nbaplayer-foxsports,name,rule_115.csv,2010-11 Season,425,425,425,1.0,1.0,2016-02-24 08:25
SWDE,nbaplayer,nbaplayer-foxsports,team,rule_121.csv,2010-11 Season,425,425,425,1.0,1.0,2016-02-24 08:25
SWDE,nbaplayer,nbaplayer-foxsports,weight,rule_410.csv,Born:,425,425,425,1.0,1.0,2016-02-24 08:25
SWDE,nbaplayer,nbaplayer-msnca,height,rule_7761.csv,Height:,434,434,434,1.0,1.0,2016-02-24 08:27
SWDE,nbaplayer,nbaplayer-msnca,name,rule_3132.csv,RPG,434,434,434,1.0,1.0,2016-02-24 08:27
SWDE,nbaplayer,nbaplayer-msnca,team,rule_314.csv,Team:,434,434,434,1.0,1.0,2016-02-24 08:27
SWDE,nbaplayer,nbaplayer-msnca,weight,rule_1382.csv,Weight:,434,434,434,1.0,1.0,2016-02-24 08:27
SWDE,nbaplayer,nbaplayer-nba,height,rule_105.csv,Height:,434,434,434,1.0,1.0,2016-02-24 08:27
SWDE,nbaplayer,nbaplayer-nba,name,rule_1126.csv,WATCH VIDEO,434,434,434,1.0,1.0,2016-02-24 08:27
SWDE,nbaplayer,nbaplayer-nba,weight,rule_873.csv,Weight:,434,434,434,1.0,1.0,2016-02-24 08:27
SWDE,nbaplayer,nbaplayer-si,height,rule_1139.csv,Height:,515,515,515,1.0,1.0,2016-02-24 08:28
SWDE,nbaplayer,nbaplayer-si,name,rule_2630.csv,Suns,515,515,515,1.0,1.0,2016-02-24 08:28
SWDE,nbaplayer,nbaplayer-si,team,rule_1171.csv,NBA,515,515,515,1.0,1.0,2016-02-24 08:28
SWDE,nbaplayer,nbaplayer-si,weight,rule_1757.csv,Weight:,515,515,515,1.0,1.0,2016-02-24 08:28
SWDE,nbaplayer,nbaplayer-slam,height,rule_809.csv,Height,423,423,423,1.0,1.0,2016-02-24 08:29
SWDE,nbaplayer,nbaplayer-slam,name,rule_1274.csv,PLAYERS,423,423,423,1.0,1.0,2016-02-24 08:29
SWDE,nbaplayer,nbaplayer-slam,team,rule_2011.csv,PLAYERS,423,423,423,1.0,1.0,2016-02-24 08:29
SWDE,nbaplayer,nbaplayer-slam,weight,rule_3061.csv,Weight,423,423,423,1.0,1.0,2016-02-24 08:29
SWDE,nbaplayer,nbaplayer-usatoday,height,rule_8425.csv,Ast,436,433,433,0.9931192660550459,1.0,2016-02-24 08:31
SWDE,nbaplayer,nbaplayer-usatoday,name,rule_3667.csv,PF,436,433,433,0.9931192660550459,1.0,2016-02-24 08:31
SWDE,nbaplayer,nbaplayer-usatoday,team,rule_3902.csv,Year,436,433,433,0.9931192660550459,1.0,2016-02-24 08:31
SWDE,nbaplayer,nbaplayer-usatoday,weight,rule_7965.csv,Min,436,433,433,0.9931192660550459,1.0,2016-02-24 08:31
SWDE,nbaplayer,nbaplayer-wiki,height,rule_63608.csv,Listed height,420,420,420,1.0,1.0,2016-02-24 08:43
SWDE,nbaplayer,nbaplayer-wiki,name,rule_90801.csv,at,420,406,406,0.9666666666666667,1.0,2016-02-24 08:44
SWDE,nbaplayer,nbaplayer-wiki,team,rule_52192.csv,current roster,420,407,407,0.969047619047619,1.0,2016-02-24 08:44
SWDE,nbaplayer,nbaplayer-wiki,weight,rule_48718.csv,Listed weight,420,420,420,1.0,1.0,2016-02-24 08:45
SWDE,nbaplayer,nbaplayer-yahoo,height,rule_3648.csv,Height:,438,438,438,1.0,1.0,2016-02-24 08:49
SWDE,nbaplayer,nbaplayer-yahoo,name,rule_5921.csv,NBA,438,438,438,1.0,1.0,2016-02-24 08:49
SWDE,nbaplayer,nbaplayer-yahoo,team,rule_914.csv,Team Home,438,438,438,1.0,1.0,2016-02-24 08:49
SWDE,nbaplayer,nbaplayer-yahoo,weight,rule_4448.csv,Weight:,438,438,438,1.0,1.0,2016-02-24 08:49
