URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/restaurant/restaurant-fodors/0007.htm","328 G St., Downtown, Anchorage, AK, 99501 |"
"/media/Dados/bases/SWDE/restaurant/restaurant-fodors/0727.htm","1910 Ala Moana Blvd., Waikiki, HI |"
"/media/Dados/bases/SWDE/restaurant/restaurant-fodors/1746.htm","1226 Westheimer Rd., Montrose, Houston, TX |"
"/media/Dados/bases/SWDE/restaurant/restaurant-fodors/1204.htm","2405 Atlantic Ave., Atlantic City, NJ |"
"/media/Dados/bases/SWDE/restaurant/restaurant-fodors/1536.htm","706 N.W. 21st Ave., Nob Hill, Portland, OR, 97209 |"
"/media/Dados/bases/SWDE/restaurant/restaurant-fodors/1433.htm","6384 Mill St., Rhinebeck, NY, 12572 |"
"/media/Dados/bases/SWDE/restaurant/restaurant-fodors/0990.htm","1648 Beacon St., Brookline, MA, 02445 |"
"/media/Dados/bases/SWDE/restaurant/restaurant-fodors/0829.htm","209 Bourbon St., French Quarter, New Orleans, LA, 70130 |"
"/media/Dados/bases/SWDE/restaurant/restaurant-fodors/0432.htm","46778 Hwy. 550, Durango, CO |"
"/media/Dados/bases/SWDE/restaurant/restaurant-fodors/0273.htm","1202 Kettner Blvd., Downtown, San Diego, CA, 92101 |"
"/media/Dados/bases/SWDE/restaurant/restaurant-fodors/0215.htm","7862 E. Coast Hwy., Corona del Mar, CA, 92657 |"
"/media/Dados/bases/SWDE/restaurant/restaurant-fodors/1650.htm","311 Westminster St., Downtown, Providence, RI |"
"/media/Dados/bases/SWDE/restaurant/restaurant-fodors/0118.htm","13670 Arnold Dr., Glen Ellen, CA, 95442 |"
"/media/Dados/bases/SWDE/restaurant/restaurant-fodors/1692.htm","2855 Poplar Ave., Memphis, TN, 38111 |"
"/media/Dados/bases/SWDE/restaurant/restaurant-fodors/0050.htm","396 S. Main St., Camp Verde, AZ, 86322 |"
"/media/Dados/bases/SWDE/restaurant/restaurant-fodors/0184.htm","3221 Donald Douglas Loop S, Santa Monica, Los Angeles, CA, 90405 |"
"/media/Dados/bases/SWDE/restaurant/restaurant-fodors/0357.htm","102 Harvard Ave., Claremont, CA |"
"/media/Dados/bases/SWDE/restaurant/restaurant-fodors/0543.htm","2401 Edgewater Dr., College Park, Orlando, FL, 32804 |"
"/media/Dados/bases/SWDE/restaurant/restaurant-fodors/0917.htm","1621 Aliceanna St., Fells Point, Baltimore, MD, 21231 |"
"/media/Dados/bases/SWDE/restaurant/restaurant-fodors/1846.htm","442 Woodstock Rd., in Gallery Pl., Woodstock, VT |"
