URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1604.htm",Talula Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0143.htm",Brasa Premium Rotisserie Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1443.htm",Lares Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0479.htm",Ginza Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1796.htm",Ãko Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1340.htm",Flying Pie Pizzeria Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0779.htm",Kitayama Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1324.htm",Alta Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1786.htm",Prima Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1178.htm",Sushi on the Rock Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1019.htm",Jennifer James 101 Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1926.htm",Kingfish CafÃ© Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0733.htm",Onotria Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0266.htm",Island Palm Grill Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0243.htm",The Village Fish House Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0859.htm",Sergio's Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1895.htm",ReBar Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0932.htm",Billy Goat Tavern & Grill Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1384.htm",Tachibana Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1680.htm",Vespaio Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1190.htm",Pizzaiolo Restaurant is one of our |
