URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/0757.htm","FAMILY / CHILDREN, OUTDOOR DIN"
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/1754.htm",DINNER
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/0687.htm",CASUAL ELEGANT
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/0016.htm",Daily 11am-2am
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/0572.htm",BAR.
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/1443.htm",DINNER
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/1745.htm","LUNCH, DINNER, Closed Sat-Sun"
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/0552.htm",NIGHTCLUB
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/1855.htm",ROMANCE
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/0535.htm",LUNCH
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/0787.htm",Daily 11am-10pm
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/0645.htm",LOCAL DINER
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/0776.htm",HAPPYHOUR
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/1728.htm",SPORTS
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/1019.htm",LUNCH
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/1452.htm",LATE-NIGHT DINING
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/0941.htm",BAR. CASUAL ATTIRE. OUTDOOR SE
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/0063.htm",DINING
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/0543.htm",FINE DINING
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/0211.htm",ROMANCE
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/1003.htm",Daily 11am-10pm
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/0496.htm",SPORTS
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/1411.htm",DINNER
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/0255.htm",DINNER
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/0842.htm",FAMILY
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/0021.htm","BAR SCENE, SPORTS BAR,"
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/0858.htm",LUNCH
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/0467.htm",LUNCH
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/0464.htm",LUNCH
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/1264.htm",PATIO DINING
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/0119.htm",LOCAL DINER
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/1360.htm",DINNER
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/0598.htm",LUNCH
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/1948.htm","SPORTS BAR,"
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/0472.htm",Daily 11am-11pm
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/0642.htm",Daily 11am-10pm
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/0108.htm",Daily 11am-2am
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/1862.htm",LUNCH
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/1106.htm",DINNER
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/1523.htm",Daily 11am-2am
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/0375.htm",ROMANTIC
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/1009.htm",PATIO DINING
"/media/Dados/bases/SWDE/restaurant/restaurant-pickarestaurant/1070.htm",DINNER
