URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/restaurant/restaurant-tripadvisor/0329.htm","“The Flavors of San Francisco’s Clement Street - California, USA”"
"/media/Dados/bases/SWDE/restaurant/restaurant-tripadvisor/0832.htm",“Buffet at Bellagio”
"/media/Dados/bases/SWDE/restaurant/restaurant-tripadvisor/0534.htm",“Glasses White With Foam”
"/media/Dados/bases/SWDE/restaurant/restaurant-tripadvisor/0706.htm",“We found this restaurant in th...”
"/media/Dados/bases/SWDE/restaurant/restaurant-tripadvisor/1429.htm",“Old and New in Philadelphia”
"/media/Dados/bases/SWDE/restaurant/restaurant-tripadvisor/0729.htm","“Dining in Portland, Ore.”"
"/media/Dados/bases/SWDE/restaurant/restaurant-tripadvisor/1276.htm",“Fonda San Miguel”
"/media/Dados/bases/SWDE/restaurant/restaurant-tripadvisor/1472.htm",“Artz Rib House”
"/media/Dados/bases/SWDE/restaurant/restaurant-tripadvisor/0927.htm",“The City Tavern In Philadelphia”
"/media/Dados/bases/SWDE/restaurant/restaurant-tripadvisor/1004.htm",“Frommer's best bets for dining in Atlanta”
"/media/Dados/bases/SWDE/restaurant/restaurant-tripadvisor/0038.htm",“36 Hours In: Lower Manhattan”
"/media/Dados/bases/SWDE/restaurant/restaurant-tripadvisor/1803.htm",“Hudson's on the Bend”
"/media/Dados/bases/SWDE/restaurant/restaurant-tripadvisor/1717.htm",“California Grill”
"/media/Dados/bases/SWDE/restaurant/restaurant-tripadvisor/0518.htm",“San Diego”
"/media/Dados/bases/SWDE/restaurant/restaurant-tripadvisor/0008.htm",“New York family style”
"/media/Dados/bases/SWDE/restaurant/restaurant-tripadvisor/0722.htm",“Going to this once popular cha...”
"/media/Dados/bases/SWDE/restaurant/restaurant-tripadvisor/1505.htm",“Yet another casual dining chai...”
