URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/restaurant/restaurant-tripadvisor/0908.htm",ad.doubleclick.net/ad/N5552.TripAdvisor.com_Swaffo/B4585108.10;sz=1x1;ord=1281961581940?
"/media/Dados/bases/SWDE/restaurant/restaurant-tripadvisor/0640.htm",ad.doubleclick.net/ad/N5552.TripAdvisor.com_Swaffo/B4585108.10;sz=1x1;ord=1281956830403?
"/media/Dados/bases/SWDE/restaurant/restaurant-tripadvisor/1975.htm",ad.doubleclick.net/ad/N5552.TripAdvisor.com_Swaffo/B4585108.10;sz=1x1;ord=1281987307010?
"/media/Dados/bases/SWDE/restaurant/restaurant-tripadvisor/1787.htm",ad.doubleclick.net/ad/N5552.TripAdvisor.com_Swaffo/B4585108.10;sz=1x1;ord=1281985005231?
"/media/Dados/bases/SWDE/restaurant/restaurant-tripadvisor/0323.htm",ad.doubleclick.net/ad/N5552.TripAdvisor.com_Swaffo/B4585108.10;sz=1x1;ord=1281950651493?
"/media/Dados/bases/SWDE/restaurant/restaurant-tripadvisor/1059.htm",ad.doubleclick.net/ad/N5552.TripAdvisor.com_Swaffo/B4585108.10;sz=1x1;ord=1281966617019?
"/media/Dados/bases/SWDE/restaurant/restaurant-tripadvisor/0583.htm",ad.doubleclick.net/ad/N5552.TripAdvisor.com_Swaffo/B4585108.10;sz=1x1;ord=1281956005264?
"/media/Dados/bases/SWDE/restaurant/restaurant-tripadvisor/1444.htm",ad.doubleclick.net/ad/N5552.TripAdvisor.com_Swaffo/B4585108.10;sz=1x1;ord=1281980912948?
"/media/Dados/bases/SWDE/restaurant/restaurant-tripadvisor/0594.htm",ad.doubleclick.net/ad/N5552.TripAdvisor.com_Swaffo/B4585108.10;sz=1x1;ord=1281956144971?
"/media/Dados/bases/SWDE/restaurant/restaurant-tripadvisor/1551.htm",ad.doubleclick.net/ad/N5552.TripAdvisor.com_Swaffo/B4585108.10;sz=1x1;ord=1281982100292?
"/media/Dados/bases/SWDE/restaurant/restaurant-tripadvisor/0937.htm",ad.doubleclick.net/ad/N5552.TripAdvisor.com_Swaffo/B4585108.10;sz=1x1;ord=1281962285528?
"/media/Dados/bases/SWDE/restaurant/restaurant-tripadvisor/0365.htm",ad.doubleclick.net/ad/N5552.TripAdvisor.com_Swaffo/B4585108.10;sz=1x1;ord=1281951280686?
"/media/Dados/bases/SWDE/restaurant/restaurant-tripadvisor/0220.htm",ad.doubleclick.net/ad/N5552.TripAdvisor.com_Swaffo/B4585108.10;sz=1x1;ord=1281947227313?
"/media/Dados/bases/SWDE/restaurant/restaurant-tripadvisor/0071.htm",ad.doubleclick.net/ad/N5552.TripAdvisor.com_Swaffo/B4585108.10;sz=1x1;ord=1281943768436?
"/media/Dados/bases/SWDE/restaurant/restaurant-tripadvisor/0375.htm",ad.doubleclick.net/ad/N5552.TripAdvisor.com_Swaffo/B4585108.10;sz=1x1;ord=1281951513765?
