URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/restaurant/restaurant-usdiners/0294.htm",View this Coupon
"/media/Dados/bases/SWDE/restaurant/restaurant-usdiners/1951.htm",View this Coupon
"/media/Dados/bases/SWDE/restaurant/restaurant-usdiners/0666.htm",View this Coupon
"/media/Dados/bases/SWDE/restaurant/restaurant-usdiners/0684.htm",View this Coupon
"/media/Dados/bases/SWDE/restaurant/restaurant-usdiners/0625.htm",View this Coupon
"/media/Dados/bases/SWDE/restaurant/restaurant-usdiners/0646.htm",View this Coupon
"/media/Dados/bases/SWDE/restaurant/restaurant-usdiners/0370.htm",View this Coupon
"/media/Dados/bases/SWDE/restaurant/restaurant-usdiners/0665.htm",View this Coupon
"/media/Dados/bases/SWDE/restaurant/restaurant-usdiners/0657.htm",View this Coupon
"/media/Dados/bases/SWDE/restaurant/restaurant-usdiners/0713.htm",View this Coupon
"/media/Dados/bases/SWDE/restaurant/restaurant-usdiners/0664.htm",View this Coupon
"/media/Dados/bases/SWDE/restaurant/restaurant-usdiners/0645.htm",View this Coupon
"/media/Dados/bases/SWDE/restaurant/restaurant-usdiners/0614.htm",View this Coupon
"/media/Dados/bases/SWDE/restaurant/restaurant-usdiners/0626.htm",View this Coupon
"/media/Dados/bases/SWDE/restaurant/restaurant-usdiners/1313.htm",View this Coupon
"/media/Dados/bases/SWDE/restaurant/restaurant-usdiners/0504.htm",View this Coupon
"/media/Dados/bases/SWDE/restaurant/restaurant-usdiners/0627.htm",View this Coupon
"/media/Dados/bases/SWDE/restaurant/restaurant-usdiners/0481.htm",View this Coupon
"/media/Dados/bases/SWDE/restaurant/restaurant-usdiners/0695.htm",View this Coupon
"/media/Dados/bases/SWDE/restaurant/restaurant-usdiners/0624.htm",View this Coupon
"/media/Dados/bases/SWDE/restaurant/restaurant-usdiners/0658.htm",View this Coupon
