URL,EXTRACTED VALUE
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/book/www.bookrenter.com/0002201011.html",Elisabeth Trotignon
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/book/www.bookrenter.com/0002200724.html",Michael Chinery
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/book/www.bookrenter.com/0002200899.html",Francois Mouton
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/book/www.bookrenter.com/0004140265.html",Nanette Newman
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/book/www.bookrenter.com/0002200910.html",Gulhelm Lesaffre
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/book/www.bookrenter.com/0002200341.html",David Hoskings
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/book/www.bookrenter.com/0004140400.html",Worrall Antony
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/book/www.bookrenter.com/0002201135.html",Richard Sale
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/book/www.bookrenter.com/0002201607.html",United Bible Societies Staff
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/book/www.bookrenter.com/0002201216.html",Paddy Dillon
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/book/www.bookrenter.com/0002200775.html",Martin De la Penn
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/book/www.bookrenter.com/0002200880.html",Baptiste De Jean
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/book/www.bookrenter.com/0002201615.html",Paul Sterry
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/book/www.bookrenter.com/0002200376.html",Geoff Sample
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/book/www.bookrenter.com/0002201151.html",Chris Townsend
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/book/www.bookrenter.com/0002200708.html",David Roots
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/book/www.bookrenter.com/0002200368.html",David Hosking
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/book/www.bookrenter.com/0002200287.html",Jack S. Levy
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/book/www.bookrenter.com/0002201224.html",G. Sample
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/book/www.bookrenter.com/0002200635.html",Stefan Buczacki
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/book/www.bookrenter.com/0002200678.html",Patrick Harding
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/book/www.bookrenter.com/0002201178.html",Ber Van Perlo
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/book/www.bookrenter.com/0002201097.html",Jack Griggs
