URL,EXTRACTED VALUE
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1327356611.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/494972565.html",Fri 12 Dec 2008 | 20:01 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1303031551.html",Fri 12 Dec 2008 | 20:01 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1299808359.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/338224440.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/831762265.html",Fri 12 Dec 2008 | 20:01 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/926928684.html",Fri 12 Dec 2008 | 20:03 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1055269766.html",Fri 12 Dec 2008 | 20:00 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/282376054.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1524776016.html",Fri 12 Dec 2008 | 20:00 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/825537437.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1368592830.html",Mon 15 Dec 2008 | 16:23 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1344369584.html",Fri 12 Dec 2008 | 20:03 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/561158236.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1223837491.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/943477053.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1631140033.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/321060553.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/691520413.html",Fri 12 Dec 2008 | 20:01 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1868900988.html",Fri 12 Dec 2008 | 20:00 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/417136126.html",Mon 15 Dec 2008 | 16:23 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1432834814.html",Fri 12 Dec 2008 | 20:00 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1231434381.html",Tue 9 Dec 2008 | 17:41 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1164242252.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/779411603.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1243398557.html",Fri 12 Dec 2008 | 20:00 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/378483248.html",Mon 15 Dec 2008 | 16:23 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1275930638.html",Fri 12 Dec 2008 | 20:01 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1220014076.html",Fri 12 Dec 2008 | 20:00 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1932866443.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/492268847.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/852882855.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/751129757.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/2919644.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1977371114.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/81128191.html",Fri 12 Dec 2008 | 20:01 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1878228022.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1396348182.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/2089045342.html",Fri 12 Dec 2008 | 20:01 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1264247895.html",Fri 12 Dec 2008 | 20:01 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1300295597.html",Fri 12 Dec 2008 | 20:00 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1247443640.html",Fri 12 Dec 2008 | 20:00 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1082537342.html",Mon 15 Dec 2008 | 16:23 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/609088803.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/970861604.html",Fri 12 Dec 2008 | 20:03 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/740576326.html",Fri 12 Dec 2008 | 20:00 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1110631935.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1206832464.html",Fri 12 Dec 2008 | 20:00 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1576519314.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1432402907.html",Fri 12 Dec 2008 | 20:00 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1346882148.html",Mon 15 Dec 2008 | 16:23 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/917605217.html",Mon 15 Dec 2008 | 16:23 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1074018691.html",Fri 12 Dec 2008 | 20:01 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/473467378.html",Fri 12 Dec 2008 | 20:00 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1641197378.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/738819767.html",Mon 15 Dec 2008 | 16:23 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1000620341.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1558063287.html",Mon 15 Dec 2008 | 16:23 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1832113715.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/451747054.html",Fri 12 Dec 2008 | 20:01 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1012001824.html",Fri 12 Dec 2008 | 20:00 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/527599665.html",Fri 12 Dec 2008 | 20:03 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1240437740.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1116871202.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/2037497387.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/2141942932.html",Fri 12 Dec 2008 | 20:01 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/471049830.html",Fri 12 Dec 2008 | 20:00 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1961552536.html",Fri 12 Dec 2008 | 20:00 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/688735148.html",Fri 12 Dec 2008 | 20:01 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1176571530.html",Fri 12 Dec 2008 | 20:01 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/53315831.html",Fri 12 Dec 2008 | 20:01 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1942081649.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1909707838.html",Fri 12 Dec 2008 | 20:00 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/20913784.html",Fri 12 Dec 2008 | 20:00 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1057085885.html",Fri 12 Dec 2008 | 20:01 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1157006942.html",Mon 15 Dec 2008 | 16:23 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/787887811.html",Fri 12 Dec 2008 | 20:01 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1081548160.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1049290745.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/846697958.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/581093143.html",Fri 12 Dec 2008 | 20:03 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/506596460.html",Mon 15 Dec 2008 | 16:23 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/2087855029.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/292831598.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/2130000262.html",Fri 12 Dec 2008 | 20:00 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/708440693.html",Fri 12 Dec 2008 | 20:00 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1671198443.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/936739869.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1722905007.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1481577578.html",Fri 12 Dec 2008 | 20:00 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1743365289.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/133885995.html",Mon 15 Dec 2008 | 16:23 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1265946680.html",Fri 12 Dec 2008 | 20:03 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/839111985.html",Fri 12 Dec 2008 | 20:03 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/497471098.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1922321161.html",Mon 15 Dec 2008 | 16:23 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/656652614.html",Fri 12 Dec 2008 | 20:01 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/229855602.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1825488149.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/945569618.html",Fri 12 Dec 2008 | 20:01 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/386464829.html",Fri 12 Dec 2008 | 20:00 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/115582700.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/373066463.html",Fri 12 Dec 2008 | 20:01 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1784152792.html",Fri 12 Dec 2008 | 20:03 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/804531009.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1198218104.html",Fri 12 Dec 2008 | 20:01 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/2120670655.html",Fri 12 Dec 2008 | 20:03 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1434702746.html",Fri 12 Dec 2008 | 20:00 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/688835573.html",Fri 12 Dec 2008 | 20:00 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/77536965.html",Fri 12 Dec 2008 | 20:00 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/849678354.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1266219815.html",Fri 12 Dec 2008 | 20:02 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/1734562711.html",Fri 12 Dec 2008 | 20:00 GMT
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/football.uk.reuters.com/552434681.html",Wed 10 Dec 2008 | 15:53 GMT
