URL,EXTRACTED VALUE
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/20380.html",2
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/21654.html",7
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/21131.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/65633.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/91297.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/91451.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/2639.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/41579.html",3
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/76762.html",3
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/2638.html",8
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/39745.html",2
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/8999.html",9
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/97157.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/14282.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/97890.html",2
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/77433.html",1
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/21046.html",14
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/12338.html",5
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/11839.html",2
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/20712.html",56
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/21702.html",1
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/10481.html",2
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/67640.html",1
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/2881.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/39744.html",12
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/10260.html",2
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/21308.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/20127.html",2
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/11011.html",11
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/37563.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/21159.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/102608.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/76852.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/21164.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/21158.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/19207.html",1
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/10038.html",6
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/20123.html",62
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/5112.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/72490.html",7
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/21171.html",13
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/33582.html",3
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/11880.html",1
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/93195.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/12947.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/100544.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/2864.html",3
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/20740.html",4
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/20748.html",23
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/102614.html",1
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/88360.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/2663.html",5
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/20791.html",1
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/20643.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/21163.html",8
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/21542.html",3
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/113936.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/19286.html",13
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/77142.html",4
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/20268.html",10
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/15299.html",3
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/76838.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/43092.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/20937.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/46569.html",2
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/30953.html",5
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/12907.html",6
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/20788.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/92338.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/10955.html",38
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/11124.html",24
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/20778.html",2
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/7956.html",7
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/19225.html",2
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/38178.html",13
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/90674.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/9546.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/21931.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/11649.html",6
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/90718.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/3061.html",45
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/11828.html",1
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/72501.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/66695.html",1
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/66875.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/101009.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/20790.html",2
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/46576.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/15222.html",1
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/2969.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/2674.html",4
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/67716.html",1
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/96167.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/30124.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/19290.html",14
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/9282.html",9
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/19084.html",3
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/79837.html",1
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/12641.html",35
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/32697.html",3
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/11004.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/21177.html",3
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/20264.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/10351.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/3063.html",8
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/2629.html",39
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/19146.html",2
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/11949.html",2
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/7628.html",31
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/40914.html",7
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/20131.html",3
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/26007.html",6
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/21305.html",1
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/8054.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/91206.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/25603.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/11070.html",16
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/20367.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/12339.html",6
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/112875.html",0
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/21157.html",2
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/soccernet.espn.go.com/90636.html",0
