URL,EXTRACTED VALUE
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/www.wallpaper-football.com/Nemanja_Vidic.html","October 21, 1981 (1981-10-21) (age 25)"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/www.wallpaper-football.com/Daniele_Portanova.html",17 December 1978
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/www.wallpaper-football.com/Juan_Sebastian_Veron.html","March 9, 1975 (1975-03-09) (age 32)"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/www.wallpaper-football.com/Gennaro-Gattuso.html","January 9, 1978 (1978-01-09) (age 29)"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/www.wallpaper-football.com/Ivica_Banovic.html","August 2, 1980 (1980-08-02) (age 26)"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/www.wallpaper-football.com/Carlo_Cudicini.html","September 6, 1973 (1973-09-06) (age 33)"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/www.wallpaper-football.com/Andres_Guardado.html","September 28, 1986 (1986-09-28) (age 20)"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/www.wallpaper-football.com/Didier_Drogba.html","March 11, 1978 (1978-03-11) (age 29)"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/www.wallpaper-football.com/Robinho.html","January 25, 1984 (1984-01-25) (age 23)"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/www.wallpaper-football.com/Gianluigi-Buffon.html","January 28, 1978 (1978-01-28) (age 29)"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/www.wallpaper-football.com/Iker_Casillas.html","May 20, 1981 (1981-05-20) (age 26)"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/www.wallpaper-football.com/Marco_Materazzi.html","August 19, 1973 (1973-08-19) (age 33)"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/www.wallpaper-football.com/Luca_Toni.html","May 26, 1977 (1977-05-26) (age 30)"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/www.wallpaper-football.com/Shaun_Wright_Phillips.html","October 25, 1981 (1981-10-25) (age 25)"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/www.wallpaper-football.com/Chris_Sutton.html","March 10, 1973 (1973-03-10) (age 34)"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/www.wallpaper-football.com/Alan_Shearer.html","August 13, 1970 (1970-08-13) (age 36)"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/www.wallpaper-football.com/David_Di_Michele.html","January 6, 1976 (1976-01-06) (age 31)"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/www.wallpaper-football.com/Alberto_Gilardino.html","July 5, 1982 (1982-07-05) (age 25)"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/www.wallpaper-football.com/Jose_Antonio_Reyes.html","September 1, 1983 (1983-09-01) (age 23)"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/www.wallpaper-football.com/Michael_Owen.html","December 14, 1979 (1979-12-14) (age 27)"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/www.wallpaper-football.com/Miroslav_Klose.html","June 9, 1978 (1978-06-09) (age 29)"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/www.wallpaper-football.com/Milan_Baros.html","October 28, 1981 (1981-10-28) (age 25)"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/www.wallpaper-football.com/Tim_Cahill.html","December 6, 1979 (1979-12-06) (age 27)"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/www.wallpaper-football.com/Alessandro_Del_Piero.html","November 9, 1974 (1974-11-09) (age 32)"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/www.wallpaper-football.com/Ruud_van_Nistelrooy.html","July 01, 1976 (1976-07-01) (age 31)"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/www.wallpaper-football.com/Steven_Gerrard.html","May 30, 1980 (1980-05-30) (age 27)"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/www.wallpaper-football.com/Carles_Puyol.html","April 13, 1978 (1978-04-13) (age 29)"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/www.wallpaper-football.com/Humberto_Suazo.html",10 May 1981
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/www.wallpaper-football.com/Mido.html","February 23, 1983 (1983-02-23) (age 24)"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/www.wallpaper-football.com/Mikel_John_Obi.html","April 22, 1987 (1987-04-22) (age 20)"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/www.wallpaper-football.com/Cristiano_Ronaldo.html","February 5, 1985 (1985-02-05) (age 22)"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/www.wallpaper-football.com/Kaka.html","April 22, 1982 (1982-04-22) (age 25)"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/soccer/www.wallpaper-football.com/Djibril_Cisse.html","August 12, 1981 (1981-08-12) (age 25)"
