URL,EXTRACTED VALUE
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/ps2.gamespy.com/guitar-hero-2.html","#Layer1, #Layer1 IMG {position:absolute; visibility: hidden; z-index:10;}"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/ps2.gamespy.com/sea-monsters-national-geographic.html","#Layer1, #Layer1 IMG {position:absolute; visibility: hidden; z-index:10;}"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/ps2.gamespy.com/test-drive-project.html","#Layer1, #Layer1 IMG {position:absolute; visibility: hidden; z-index:10;}"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/ps2.gamespy.com/phantasy-star-universe-ambition-of-illuminus.html","#Layer1, #Layer1 IMG {position:absolute; visibility: hidden; z-index:10;}"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/ps2.gamespy.com/okami.html","#Layer1, #Layer1 IMG {position:absolute; visibility: hidden; z-index:10;}"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/ps2.gamespy.com/atv-offroad-fury-4.html","#Layer1, #Layer1 IMG {position:absolute; visibility: hidden; z-index:10;}"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/ps2.gamespy.com/phantasy-star-universe.html","#Layer1, #Layer1 IMG {position:absolute; visibility: hidden; z-index:10;}"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/ps2.gamespy.com/king-of-fighters-xi.html","#Layer1, #Layer1 IMG {position:absolute; visibility: hidden; z-index:10;}"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/ps2.gamespy.com/dragon-ball-z-budokai-tenkaichi-3-.html","#Layer1, #Layer1 IMG {position:absolute; visibility: hidden; z-index:10;}"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/ps2.gamespy.com/yakuza-2.html","#Layer1, #Layer1 IMG {position:absolute; visibility: hidden; z-index:10;}"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/ps2.gamespy.com/level-5-new-rpg-untitled.html","#Layer1, #Layer1 IMG {position:absolute; visibility: hidden; z-index:10;}"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/ps2.gamespy.com/naruto-narutimate-hero-3.html","#Layer1, #Layer1 IMG {position:absolute; visibility: hidden; z-index:10;}"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/ps2.gamespy.com/singstar-90s-game-only.html","#Layer1, #Layer1 IMG {position:absolute; visibility: hidden; z-index:10;}"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/ps2.gamespy.com/disgaea-2.html","#Layer1, #Layer1 IMG {position:absolute; visibility: hidden; z-index:10;}"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/ps2.gamespy.com/singstar-pop.html","#Layer1, #Layer1 IMG {position:absolute; visibility: hidden; z-index:10;}"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/ps2.gamespy.com/sole-predator.html","#Layer1, #Layer1 IMG {position:absolute; visibility: hidden; z-index:10;}"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/ps2.gamespy.com/astro-boy.html","#Layer1, #Layer1 IMG {position:absolute; visibility: hidden; z-index:10;}"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/ps2.gamespy.com/24.html","#Layer1, #Layer1 IMG {position:absolute; visibility: hidden; z-index:10;}"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/ps2.gamespy.com/god-hand.html","#Layer1, #Layer1 IMG {position:absolute; visibility: hidden; z-index:10;}"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/ps2.gamespy.com/rule-of-rose.html","#Layer1, #Layer1 IMG {position:absolute; visibility: hidden; z-index:10;}"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/ps2.gamespy.com/curious-george.html","#Layer1, #Layer1 IMG {position:absolute; visibility: hidden; z-index:10;}"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/ps2.gamespy.com/one-piece-grand-adventure.html","#Layer1, #Layer1 IMG {position:absolute; visibility: hidden; z-index:10;}"
