URL,EXTRACTED VALUE
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/www.nintendo.com/4We15Kju8KQtAz-gkjjZBaXR3k0EaWHr.html",Pick your favorite team and go online to challenge a rival squad one-on-one.
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/www.nintendo.com/PHkZSWyES38m3L1ElDiyvtYYSbcvmJyY.html",Battle against your friends over DS Wireless or Nintendo Wi-Fi Connection
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/www.nintendo.com/marhmP0QYsb3NvFCPrYophN9IInEo5wq.html","Race your cars online in high-adrenaline multiplayer, multiple car events"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/www.nintendo.com/NEMcALwPigWA_UUvE9hASfPpUFrbAa8N.html",Multi-player: Challenge and compete against your friends monstrous creations.
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/www.nintendo.com/EaUVPL1ibDAyLZXGstQzYo8qBjMvyPRA.html",Challenge puzzle masters from around the world using the Nintendo Wi-Fi Connection
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/www.nintendo.com/noRxghfMCL7bnWS80UaADXf4XFtmg0Bk.html","All new Wi-Fi battle system and Global Spectrobes Market, plus an enhanced Local Wireless battle system"
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/www.nintendo.com/tkf6F442Z4tWTPh27NOdPoeqjSI_5J9h.html",FINAL FANTASY III into the new millennium
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/www.nintendo.com/1xBiq-mPJRVqzYX48l1P6So1BQbxQgPd.html",Connect wirelessly with firends to explore the amigo dungeon.
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/www.nintendo.com/V0813Zh_mhIXGhrmFekxBPPq4wEXQolA.html",Make your Ranch more lively by playing with your friends and family!
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/www.nintendo.com/GeHc60SCoy5dbh7tjqT_0Jua2-yJXacR.html",Challenge other players using the Nintendo Wi-Fi network
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/www.nintendo.com/04Gtv-PD7ahbSlpNkVAnvkzgt5b3BpbX.html",Connect to Nintendo Wi-Fi Connection to register your best single player scores on the rankings board.
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/www.nintendo.com/r7Q_UlFEfJzrfURVgc-n02JlVvCSK7Dg.html",Compete with online with other challengers from around the world to be the 'Virtual Guinness World Record Holder'
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/www.nintendo.com/eakYbldavxNisj2q9hVP1T1LrSY9udEx.html",Connect via WiFi and battle up to four friends
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/www.nintendo.com/m6JQfmIkEKh6pFmOgbFnYku6z5Y26zku.html",Robust Nintendo Wi-Fi Connection component allows players to upload and download monster team data for battle on their Nintendo DS systems
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/www.nintendo.com/0nKucR8rpyfV9ktby3s-Kv1_UlMI5P5a.html",Compete with a friend as you guide Link through special battle stages. Capture Force Gems or command the forces that oppose Link.
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/www.nintendo.com/qe5EsqatDMgiEigEXIZCuIbb6Dnj25l8.html",Design maps and share them with friends or the world using the integrated level editor and the infrastructure modes of the Nintendo Wi-fi connection.
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/www.nintendo.com/PAiLoDtIisqI6LGIzgxv-8StrzB_dzOU.html","Compare your scores, stars, mini marios and more against the best players' worldwide."
"/sdd/edimar/Desktop/doutorado/doutorado04/bases/WEIR/videogame/www.nintendo.com/T27r_Wkloo3Ez6UGAiwCi4gM4mRtWBAO.html",Challenge the best virtual fishermen around the world via online Wi-Fi play.
